stop_id,route_id,delay_at_stop_min,missed_time_window,distance_from_prev_km,planned_travel_min,stop_sequence,road_type,hour_of_day,day_of_week,traffic_level,weather_condition,is_rush_hour,precipitation_mm,hist_delay_probability,cumulative_delay_min,prev_stop_delay_min,time_window_slack_min,stop_progress_ratio,planned_speed_kmh,hist_slack_min,is_high_risk_weather,is_urban_road,traffic_weather_risk
STP-14117,RT-0002,6.2,0,44.54,29.7,7,0,21,4,1,0,1.0,1.7,0.25,43.0,6.1,80.0,0.875,89.97979797979798,65.89,0,0,3
STP-41850,RT-0002,5.4,0,38.15,25.4,8,0,21,4,1,0,1.0,0.0,0.25,49.2,6.2,73.0,1.0,90.11811023622047,58.89,0,0,3
STP-82132,RT-0003,1.8,0,8.19,7.6,1,2,15,3,3,3,0.0,0.0,0.167,0.0,0.0,80.0,0.1111111111111111,64.65789473684211,67.28,1,0,8
STP-62565,RT-0003,20.6,0,59.25,54.7,2,2,16,3,3,3,0.0,0.0,0.167,1.8,1.8,84.0,0.2222222222222222,64.9908592321755,65.99,1,0,8
STP-73788,RT-0003,14.6,0,50.34,46.5,3,2,17,3,3,3,0.0,0.0,0.167,22.400000000000002,20.6,69.0,0.3333333333333333,64.95483870967742,50.989999999999995,1,0,8
STP-72493,RT-0003,9.0,0,36.89,34.1,4,2,18,3,3,3,0.0,23.9,0.167,37.0,14.6,85.0,0.4444444444444444,64.9090909090909,66.99,1,0,8
STP-40828,RT-0003,2.6,0,8.04,7.4,5,2,18,3,3,3,0.0,11.8,0.167,46.0,9.0,61.0,0.5555555555555556,65.18918918918918,42.989999999999995,1,0,8
STP-51467,RT-0003,16.8,1,51.88,47.9,6,2,19,3,3,3,0.0,0.0,0.167,48.6,2.6,72.0,0.6666666666666666,64.98538622129436,53.989999999999995,1,0,8
STP-19508,RT-0003,18.2,1,65.36,60.3,7,2,21,3,3,3,0.0,0.0,0.167,65.4,16.8,72.0,0.7777777777777778,65.03482587064677,57.85,1,0,8
STP-19016,RT-0003,14.8,1,59.47,54.9,8,2,22,3,3,3,0.0,20.5,0.167,83.60000000000001,18.2,82.0,0.8888888888888888,64.99453551912569,67.85,1,0,8
STP-82692,RT-0003,14.2,1,41.54,38.3,9,2,23,3,3,3,0.0,0.0,0.167,98.4,14.8,64.0,1.0,65.0757180156658,49.85,1,0,8
STP-82309,RT-0004,11.4,0,31.02,20.7,1,0,10,6,1,3,0.0,26.3,0.333,0.0,0.0,81.0,0.1111111111111111,89.91304347826087,55.18,1,0,12
STP-29410,RT-0004,10.2,0,32.43,21.6,2,0,10,6,1,3,0.0,0.0,0.333,11.4,11.4,79.0,0.2222222222222222,90.08333333333333,53.18,1,0,12
STP-56357,RT-0004,19.1,0,49.23,32.8,3,0,11,6,1,3,1.0,0.0,0.333,21.6,10.2,74.0,0.3333333333333333,90.05487804878048,48.18,1,0,12
STP-13248,RT-0004,14.4,0,40.13,26.8,4,0,11,6,1,3,0.0,0.0,0.333,40.7,19.1,68.0,0.4444444444444444,89.84328358208955,42.18,1,0,12
STP-15075,RT-0004,21.0,1,57.96,38.6,5,0,12,6,1,3,0.0,26.5,0.333,55.1,14.4,73.0,0.5555555555555556,90.09326424870467,47.18,1,0,12
STP-46517,RT-0004,11.6,1,38.21,25.5,6,0,13,6,1,3,0.0,0.0,0.333,76.1,21.0,87.0,0.6666666666666666,89.90588235294118,61.18,1,0,12
STP-44237,RT-0004,15.9,1,45.75,30.5,7,0,14,6,1,3,0.0,0.0,0.333,87.69999999999999,11.6,60.0,0.7777777777777778,90.0,34.18,1,0,12
STP-77033,RT-0004,2.0,1,5.31,3.5,8,0,14,6,1,3,0.0,0.0,0.333,103.6,15.9,83.0,0.8888888888888888,91.02857142857142,57.18,1,0,12
STP-97900,RT-0004,9.0,1,24.78,16.5,9,0,14,6,1,3,0.0,5.4,0.333,105.6,2.0,83.0,1.0,90.10909090909091,57.18,1,0,12
STP-86019,RT-0005,8.2,0,21.01,19.4,1,2,15,4,3,3,0.0,17.5,0.167,0.0,0.0,72.0,0.16666666666666666,64.97938144329898,59.28,1,0,8
STP-47196,RT-0005,6.8,0,17.11,15.8,2,2,16,4,3,3,1.0,21.2,0.167,8.2,8.2,84.0,0.3333333333333333,64.97468354430379,65.99,1,0,8
STP-16057,RT-0005,5.8,0,19.8,18.3,3,2,16,4,3,3,0.0,0.0,0.167,15.0,6.8,65.0,0.5,64.91803278688525,46.989999999999995,1,0,8
STP-41979,RT-0005,3.9,0,12.74,11.8,4,2,16,4,3,3,0.0,0.0,0.167,20.8,5.8,72.0,0.6666666666666666,64.77966101694915,53.989999999999995,1,0,8
STP-83060,RT-0005,3.9,0,10.71,9.9,5,2,17,4,3,3,0.0,0.0,0.167,24.7,3.9,74.0,0.8333333333333334,64.9090909090909,55.989999999999995,1,0,8
STP-76162,RT-0005,4.1,0,12.22,11.3,6,2,17,4,3,3,1.0,23.9,0.167,28.599999999999998,3.9,76.0,1.0,64.88495575221239,57.989999999999995,1,0,8
STP-64377,RT-0006,-3.8,0,24.01,36.0,1,3,16,3,2,0,0.0,0.0,0.017,0.0,0.0,74.0,0.1,40.01666666666667,58.4,0,1,1
STP-12560,RT-0006,-3.2,0,32.08,48.1,2,3,17,3,2,0,0.0,0.0,0.017,-3.8,-3.8,60.0,0.2,40.016632016632016,44.4,0,1,1
STP-81582,RT-0006,-1.4,0,7.78,11.7,3,3,17,3,2,0,1.0,22.9,0.017,-7.0,-3.2,87.0,0.3,39.897435897435905,71.4,0,1,1
STP-71261,RT-0006,-0.8,0,9.05,13.6,4,3,18,3,2,0,1.0,0.0,0.017,-8.4,-1.4,89.0,0.4,39.9264705882353,73.4,0,1,1
STP-27786,RT-0006,-5.4,0,41.14,61.7,5,3,19,3,2,0,0.0,26.5,0.017,-9.200000000000001,-0.8,83.0,0.5,40.0064829821718,67.4,0,1,1
STP-65255,RT-0006,-6.3,0,41.32,62.0,6,3,20,3,2,0,0.0,0.0,0.017,-14.600000000000001,-5.4,69.0,0.6,39.987096774193546,63.269999999999996,0,1,1
STP-42411,RT-0006,-0.8,0,4.75,7.1,7,3,20,3,2,0,0.0,0.0,0.017,-20.900000000000002,-6.3,85.0,0.7,40.140845070422536,79.27,0,1,1
STP-58351,RT-0006,-3.1,0,30.37,45.6,8,3,21,3,2,0,0.0,2.2,0.017,-21.700000000000003,-0.8,90.0,0.8,39.96052631578947,84.27,0,1,1
STP-85470,RT-0006,-4.9,0,38.5,57.8,9,3,23,3,2,0,1.0,28.5,0.017,-24.800000000000004,-3.1,89.0,0.9,39.965397923875436,83.27,0,1,1
STP-49529,RT-0006,-1.5,0,21.7,32.5,10,3,23,3,2,0,0.0,0.0,0.017,-29.700000000000003,-4.9,86.0,1.0,40.06153846153846,80.27,0,1,1
STP-42177,RT-0007,18.7,0,19.98,26.6,1,1,10,2,1,3,0.0,22.5,0.333,0.0,0.0,87.0,0.25,45.06766917293233,63.769999999999996,1,0,12
STP-74789,RT-0007,4.5,0,5.07,6.8,2,1,11,2,1,3,0.0,26.5,0.333,18.7,18.7,87.0,0.5,44.735294117647065,63.769999999999996,1,0,12
STP-77715,RT-0007,7.6,0,8.15,10.9,3,1,11,2,1,3,1.0,8.5,0.333,23.2,4.5,62.0,0.75,44.862385321100916,38.769999999999996,1,0,12
STP-12260,RT-0007,60.2,1,57.47,76.6,4,1,13,2,1,3,0.0,10.5,0.333,30.799999999999997,7.6,87.0,1.0,45.01566579634465,63.769999999999996,1,0,12
STP-78765,RT-0008,5.7,0,8.53,12.8,1,3,8,6,3,3,1.0,0.0,0.167,0.0,0.0,64.0,0.125,39.98437499999999,44.11,1,1,8
STP-15965,RT-0008,15.4,0,33.4,50.1,2,3,9,6,3,3,0.0,0.0,0.167,5.7,5.7,69.0,0.25,39.99999999999999,49.11,1,1,8
STP-72746,RT-0008,21.2,0,40.35,60.5,3,3,11,6,3,3,0.0,25.1,0.167,21.1,15.4,90.0,0.375,40.01652892561984,77.76,1,1,8
STP-85631,RT-0008,7.8,0,14.29,21.4,4,3,11,6,3,3,0.0,0.0,0.167,42.3,21.2,90.0,0.5,40.06542056074767,77.76,1,1,8
STP-64548,RT-0008,17.7,1,37.94,56.9,5,3,12,6,3,3,0.0,0.0,0.167,50.099999999999994,7.8,63.0,0.625,40.00702987697715,50.76,1,1,8
STP-50026,RT-0008,19.3,1,37.66,56.5,6,3,13,6,3,3,0.0,0.0,0.167,67.8,17.7,62.0,0.75,39.9929203539823,49.76,1,1,8
STP-32782,RT-0008,2.5,1,5.08,7.6,7,3,14,6,3,3,0.0,0.0,0.167,87.1,19.3,82.0,0.875,40.10526315789474,69.76,1,1,8
STP-69510,RT-0008,19.1,1,32.32,48.5,8,3,15,6,3,3,0.0,10.5,0.167,89.6,2.5,76.0,1.0,39.983505154639175,63.76,1,1,8
STP-15224,RT-0009,38.4,0,42.74,57.0,1,1,12,6,1,3,0.0,20.3,0.333,0.0,0.0,68.0,0.16666666666666666,44.98947368421053,44.769999999999996,1,0,12
STP-98117,RT-0009,7.7,0,9.3,12.4,2,1,12,6,1,3,0.0,0.0,0.333,38.4,38.4,83.0,0.3333333333333333,45.00000000000001,59.769999999999996,1,0,12
STP-86720,RT-0009,30.4,1,28.49,38.0,3,1,13,6,1,3,0.0,0.0,0.333,46.1,7.7,72.0,0.5,44.98421052631579,48.769999999999996,1,0,12
STP-53228,RT-0009,13.2,1,16.5,22.0,4,1,14,6,1,3,0.0,0.0,0.333,76.5,30.4,86.0,0.6666666666666666,45.0,62.769999999999996,1,0,12
STP-25194,RT-0009,32.2,1,37.56,50.1,5,1,15,6,1,3,1.0,21.3,0.333,89.7,13.2,60.0,0.8333333333333334,44.98203592814371,36.769999999999996,1,0,12
STP-91609,RT-0009,16.5,1,18.23,24.3,6,1,15,6,1,3,0.0,0.0,0.333,121.9,32.2,88.0,1.0,45.01234567901234,64.77,1,0,12
STP-45838,RT-0010,12.2,0,35.87,23.9,1,0,5,4,0,0,0.0,0.0,0.583,0.0,0.0,86.0,0.25,90.05020920502092,50.88,0,0,4
STP-27892,RT-0010,11.4,0,31.75,21.2,2,0,6,4,0,0,0.0,20.5,0.583,12.2,12.2,68.0,0.5,89.85849056603773,32.88,0,0,4
STP-86931,RT-0010,8.5,0,27.35,18.2,3,0,6,4,0,0,0.0,0.0,0.583,23.6,11.4,74.0,0.75,90.16483516483517,38.88,0,0,4
STP-52176,RT-0010,12.1,0,25.4,16.9,4,0,7,4,0,0,0.0,0.0,0.583,32.1,8.5,74.0,1.0,90.17751479289942,29.96,0,0,4
STP-44737,RT-0011,20.1,0,52.76,70.3,1,1,19,5,2,2,0.0,0.0,0.15,0.0,0.0,78.0,0.14285714285714285,45.0298719772404,59.379999999999995,0,0,3
STP-14705,RT-0011,9.2,0,30.04,40.1,2,1,20,5,2,2,0.0,25.7,0.15,20.1,20.1,64.0,0.2857142857142857,44.947630922693264,52.58,0,0,3
STP-23173,RT-0011,3.5,0,26.33,35.1,3,1,21,5,2,2,0.0,0.0,0.15,29.3,9.2,68.0,0.42857142857142855,45.008547008547,56.58,0,0,3
STP-79621,RT-0011,0.6,0,2.2,2.9,4,1,21,5,2,2,0.0,0.0,0.15,32.8,3.5,73.0,0.5714285714285714,45.51724137931035,61.58,0,0,3
STP-86435,RT-0011,5.4,0,21.25,28.3,5,1,22,5,2,2,0.0,0.0,0.15,33.4,0.6,78.0,0.7142857142857143,45.053003533568905,66.58,0,0,3
STP-67898,RT-0011,14.6,0,59.98,80.0,6,1,23,5,2,2,0.0,11.4,0.15,38.8,5.4,76.0,0.8571428571428571,44.985,64.58,0,0,3
STP-73335,RT-0011,26.3,1,64.06,85.4,7,1,1,6,2,2,0.0,14.0,0.15,53.4,14.6,61.0,1.0,45.007025761124126,51.75,0,0,3
STP-67779,RT-0012,35.8,0,41.0,61.5,1,3,20,2,1,3,0.0,0.0,0.333,0.0,0.0,88.0,0.1111111111111111,40.0,66.31,1,1,12
STP-57953,RT-0012,45.7,1,43.62,65.4,2,3,21,2,1,3,0.0,24.3,0.333,35.8,35.8,76.0,0.2222222222222222,40.01834862385321,54.31,1,1,12
STP-71385,RT-0012,38.5,1,49.06,73.6,3,3,23,2,1,3,0.0,19.4,0.333,81.5,45.7,84.0,0.3333333333333333,39.99456521739131,62.31,1,1,12
STP-80329,RT-0012,51.4,1,57.21,85.8,4,3,1,3,1,3,1.0,0.0,0.333,120.0,38.5,87.0,0.4444444444444444,40.00699300699301,68.68,1,1,12
STP-71797,RT-0012,25.1,1,27.44,41.2,5,3,2,3,1,3,0.0,21.7,0.333,171.4,51.4,85.0,0.5555555555555556,39.961165048543684,66.68,1,1,12
STP-49608,RT-0012,61.7,1,57.45,86.2,6,3,3,3,1,3,1.0,0.0,0.333,196.5,25.1,76.0,0.6666666666666666,39.988399071925755,57.68,1,1,12
STP-69459,RT-0012,44.7,1,46.71,70.1,7,3,5,3,1,3,0.0,11.8,0.333,258.2,61.7,61.0,0.7777777777777778,39.980028530670474,42.68,1,1,12
STP-90694,RT-0012,2.4,1,2.48,3.7,8,3,5,3,1,3,0.0,11.8,0.333,302.9,44.7,64.0,0.8888888888888888,40.21621621621622,45.68,1,1,12
STP-99873,RT-0012,3.8,1,3.74,5.6,9,3,5,3,1,3,1.0,0.0,0.333,305.29999999999995,2.4,73.0,1.0,40.07142857142858,54.68,1,1,12
STP-88116,RT-0013,10.2,0,51.6,77.4,1,3,1,4,3,1,1.0,0.0,0.1,0.0,0.0,71.0,0.1111111111111111,40.0,60.18,0,1,4
STP-56955,RT-0013,23.6,0,61.48,92.2,2,3,3,4,3,1,0.0,0.0,0.1,10.2,10.2,74.0,0.2222222222222222,40.00867678958785,63.18,0,1,4
STP-18330,RT-0013,9.3,0,34.78,52.2,3,3,4,4,3,1,1.0,0.0,0.1,33.8,23.6,76.0,0.3333333333333333,39.97701149425288,65.18,0,1,4
STP-96363,RT-0013,3.9,0,16.75,25.1,4,3,4,4,3,1,1.0,0.0,0.1,43.099999999999994,9.3,65.0,0.4444444444444444,40.0398406374502,54.18,0,1,4
STP-68138,RT-0013,10.6,0,35.66,53.5,5,3,6,4,3,1,0.0,22.5,0.1,46.99999999999999,3.9,82.0,0.5555555555555556,39.992523364485976,71.18,0,1,4
STP-59925,RT-0013,21.9,1,65.67,98.5,6,3,7,4,3,1,1.0,14.5,0.1,57.599999999999994,10.6,79.0,0.6666666666666666,40.00203045685279,65.22,0,1,4
STP-38183,RT-0013,3.6,1,41.91,62.9,7,3,9,4,3,1,0.0,0.0,0.1,79.5,21.9,82.0,0.7777777777777778,39.97774244833068,68.22,0,1,4
STP-97177,RT-0013,2.2,1,12.17,18.3,8,3,9,4,3,1,1.0,0.0,0.1,83.1,3.6,73.0,0.8888888888888888,39.90163934426229,59.22,0,1,4
STP-58843,RT-0013,5.8,1,42.41,63.6,9,3,11,4,3,1,0.0,0.0,0.1,85.3,2.2,84.0,1.0,40.00943396226415,73.31,0,1,4
STP-91490,RT-0014,4.9,0,16.59,11.1,1,0,11,2,1,2,1.0,0.0,0.383,0.0,0.0,65.0,0.16666666666666666,89.67567567567568,36.53,0,0,9
STP-56009,RT-0014,14.5,0,42.19,28.1,2,0,12,2,1,2,1.0,0.0,0.383,4.9,4.9,65.0,0.3333333333333333,90.08540925266902,36.53,0,0,9
STP-38197,RT-0014,10.5,0,32.73,21.8,3,0,12,2,1,2,0.0,21.8,0.383,19.4,14.5,76.0,0.5,90.08256880733944,47.53,0,0,9
STP-90981,RT-0014,8.6,0,29.03,19.4,4,0,13,2,1,2,0.0,0.0,0.383,29.9,10.5,75.0,0.6666666666666666,89.78350515463919,46.53,0,0,9
STP-24918,RT-0014,7.5,0,19.77,13.2,5,0,13,2,1,2,0.0,11.1,0.383,38.5,8.6,82.0,0.8333333333333334,89.86363636363636,53.53,0,0,9
STP-17180,RT-0014,8.6,0,24.57,16.4,6,0,14,2,1,2,1.0,0.0,0.383,46.0,7.5,72.0,1.0,89.89024390243902,43.53,0,0,9
STP-93904,RT-0015,6.8,0,25.84,34.5,1,1,22,4,2,2,0.0,0.0,0.15,0.0,0.0,84.0,0.2,44.93913043478261,72.58,0,0,3
STP-23875,RT-0015,6.3,0,27.05,36.1,2,1,23,4,2,2,0.0,2.2,0.15,6.8,6.8,71.0,0.4,44.958448753462605,59.58,0,0,3
STP-92998,RT-0015,1.5,0,9.54,12.7,3,1,0,5,2,2,0.0,0.0,0.15,13.1,6.3,63.0,0.6,45.07086614173228,53.75,0,0,3
STP-32740,RT-0015,6.2,0,35.04,46.7,4,1,1,5,2,2,0.0,0.0,0.15,14.6,1.5,82.0,0.8,45.01927194860813,72.75,0,0,3
STP-68838,RT-0015,2.0,0,8.18,10.9,5,1,1,5,2,2,0.0,22.2,0.15,20.8,6.2,60.0,1.0,45.027522935779814,50.75,0,0,3
STP-15376,RT-0016,-0.8,0,13.19,8.8,1,0,18,2,2,0,0.0,7.5,0.017,0.0,0.0,82.0,0.16666666666666666,89.93181818181817,70.53999999999999,0,0,1
STP-55015,RT-0016,-8.5,0,51.5,34.3,2,0,19,2,2,0,1.0,0.0,0.017,-0.8,-0.8,61.0,0.3333333333333333,90.08746355685132,49.54,0,0,1
STP-58870,RT-0016,-0.5,0,16.13,10.8,3,0,19,2,2,0,0.0,0.0,0.017,-9.3,-8.5,81.0,0.5,89.6111111111111,69.53999999999999,0,0,1
STP-83133,RT-0016,-2.5,0,16.84,11.2,4,0,20,2,2,0,0.0,0.0,0.017,-9.8,-0.5,60.0,0.6666666666666666,90.21428571428572,55.269999999999996,0,0,1
STP-55851,RT-0016,-2.3,0,31.14,20.8,5,0,20,2,2,0,0.0,29.1,0.017,-12.3,-2.5,69.0,0.8333333333333334,89.82692307692308,64.27,0,0,1
STP-97833,RT-0016,-2.5,0,30.18,20.1,6,0,21,2,2,0,0.0,0.0,0.017,-14.600000000000001,-2.3,84.0,1.0,90.08955223880596,79.27,0,0,1
STP-30218,RT-0017,-1.4,0,32.71,21.8,1,0,16,5,2,1,0.0,0.0,0.033,0.0,0.0,85.0,0.2,90.02752293577981,69.85,0,0,2
STP-41133,RT-0017,-1.4,0,55.05,36.7,2,0,17,5,2,1,1.0,0.0,0.033,-1.4,-1.4,74.0,0.4,89.99999999999999,58.85,0,0,2
STP-35430,RT-0017,-0.6,0,43.72,29.1,3,0,18,5,2,1,0.0,0.0,0.033,-2.8,-1.4,64.0,0.6,90.14432989690721,48.85,0,0,2
STP-36174,RT-0017,-2.9,0,50.67,33.8,4,0,19,5,2,1,1.0,22.5,0.033,-3.4,-0.6,64.0,0.8,89.94674556213019,48.85,0,0,2
STP-47363,RT-0017,-4.7,0,47.88,31.9,5,0,19,5,2,1,0.0,6.8,0.033,-6.3,-2.9,61.0,1.0,90.05642633228841,45.85,0,0,2
STP-28191,RT-0018,11.1,0,12.58,18.9,1,3,17,1,1,3,0.0,0.0,0.333,0.0,0.0,90.0,0.25,39.93650793650794,56.43,1,1,12
STP-89807,RT-0018,24.9,0,24.01,36.0,2,3,18,1,1,3,0.0,0.0,0.333,11.1,11.1,88.0,0.5,40.01666666666667,54.43,1,1,12
STP-24530,RT-0018,30.5,1,28.7,43.1,3,3,19,1,1,3,0.0,26.2,0.333,36.0,24.9,62.0,0.75,39.953596287703014,28.43,1,1,12
STP-90584,RT-0018,26.2,1,32.49,48.7,4,3,20,1,1,3,0.0,0.0,0.333,66.5,30.5,86.0,1.0,40.02874743326488,64.31,1,1,12
STP-53583,RT-0019,-0.3,0,12.02,11.1,1,2,13,2,2,0,0.0,14.0,0.017,0.0,0.0,83.0,0.125,64.97297297297297,79.36,0,0,1
STP-69988,RT-0019,-1.3,0,10.1,9.3,2,2,13,2,2,0,0.0,10.5,0.017,-0.3,-0.3,78.0,0.25,65.16129032258064,74.36,0,0,1
STP-14799,RT-0019,-8.3,0,47.79,44.1,3,2,14,2,2,0,0.0,21.9,0.017,-1.6,-1.3,71.0,0.375,65.0204081632653,67.36,0,0,1
STP-62431,RT-0019,-4.7,0,36.15,33.4,4,2,15,2,2,0,0.0,22.2,0.017,-9.9,-8.3,62.0,0.5,64.94011976047904,58.36,0,0,1
STP-20828,RT-0019,-3.5,0,41.92,38.7,5,2,16,2,2,0,0.0,0.0,0.017,-14.600000000000001,-4.7,73.0,0.625,64.9922480620155,59.9,0,0,1
STP-48750,RT-0019,-3.5,0,38.91,35.9,6,2,16,2,2,0,0.0,29.1,0.017,-18.1,-3.5,64.0,0.75,65.03064066852367,50.9,0,0,1
STP-67008,RT-0019,-1.8,0,19.58,18.1,7,2,17,2,2,0,1.0,0.0,0.017,-21.6,-3.5,64.0,0.875,64.90607734806629,50.9,0,0,1
STP-28714,RT-0019,-2.2,0,41.33,38.2,8,2,18,2,2,0,0.0,0.0,0.017,-23.400000000000002,-1.8,64.0,1.0,64.91623036649214,50.9,0,0,1
STP-44116,RT-0020,0.2,0,14.83,9.9,1,0,11,4,3,0,0.0,6.3,0.083,0.0,0.0,62.0,0.2,89.87878787878788,56.269999999999996,0,0,2
STP-68341,RT-0020,0.9,0,36.31,24.2,2,0,11,4,3,0,0.0,0.0,0.083,0.2,0.2,69.0,0.4,90.02479338842976,63.269999999999996,0,0,2
STP-30644,RT-0020,-0.5,0,19.97,13.3,3,0,12,4,3,0,0.0,28.5,0.083,1.1,0.9,89.0,0.6,90.09022556390977,83.27,0,0,2
STP-41029,RT-0020,-0.4,0,46.58,31.1,4,0,13,4,3,0,0.0,0.0,0.083,0.6000000000000001,-0.5,78.0,0.8,89.86495176848875,72.27,0,0,2
STP-62187,RT-0020,2.1,0,38.18,25.5,5,0,13,4,3,0,0.0,0.0,0.083,0.20000000000000007,-0.4,70.0,1.0,89.83529411764707,64.27,0,0,2
STP-39552,RT-0021,0.3,0,12.28,8.2,1,0,5,2,2,2,0.0,11.8,0.15,0.0,0.0,77.0,0.1111111111111111,89.85365853658537,67.9,0,0,3
STP-91922,RT-0021,0.5,0,21.2,14.1,2,0,6,2,2,2,0.0,0.0,0.15,0.3,0.3,66.0,0.2222222222222222,90.2127659574468,56.9,0,0,3
STP-89316,RT-0021,2.8,0,20.27,13.5,3,0,6,2,2,2,1.0,0.0,0.15,0.8,0.5,73.0,0.3333333333333333,90.08888888888889,63.9,0,0,3
STP-37631,RT-0021,1.5,0,38.76,25.8,4,0,7,2,2,2,0.0,21.9,0.15,3.5999999999999996,2.8,86.0,0.4444444444444444,90.13953488372093,65.37,0,0,3
STP-99783,RT-0021,0.1,0,24.15,16.1,5,0,7,2,2,2,0.0,21.8,0.15,5.1,1.5,75.0,0.5555555555555556,89.99999999999999,54.370000000000005,0,0,3
STP-50970,RT-0021,1.9,0,31.16,20.8,6,0,8,2,2,2,0.0,20.5,0.15,5.199999999999999,0.1,85.0,0.6666666666666666,89.88461538461539,64.37,0,0,3
STP-51827,RT-0021,2.3,0,42.57,28.4,7,0,9,2,2,2,0.0,0.0,0.15,7.1,1.9,61.0,0.7777777777777778,89.93661971830986,40.370000000000005,0,0,3
STP-30932,RT-0021,-2.2,0,56.55,37.7,8,0,10,2,2,2,0.0,0.0,0.15,9.399999999999999,2.3,73.0,0.8888888888888888,89.99999999999999,60.46,0,0,3
STP-50441,RT-0021,4.3,0,48.23,32.2,9,0,10,2,2,2,1.0,0.0,0.15,7.199999999999998,-2.2,85.0,1.0,89.86956521739128,72.46000000000001,0,0,3
STP-19637,RT-0022,1.3,0,13.85,9.2,1,0,20,3,1,0,0.0,0.0,0.25,0.0,0.0,75.0,0.1,90.32608695652175,60.89,0,0,3
STP-54444,RT-0022,2.1,0,12.24,8.2,2,0,20,3,1,0,0.0,0.0,0.25,1.3,1.3,89.0,0.2,89.5609756097561,74.89,0,0,3
STP-53652,RT-0022,1.6,0,18.22,12.1,3,0,20,3,1,0,0.0,0.0,0.25,3.4000000000000004,2.1,88.0,0.3,90.34710743801652,73.89,0,0,3
STP-90805,RT-0022,2.2,0,12.1,8.1,4,0,21,3,1,0,1.0,0.0,0.25,5.0,1.6,79.0,0.4,89.62962962962963,64.89,0,0,3
STP-12180,RT-0022,3.9,0,31.37,20.9,5,0,21,3,1,0,0.0,0.0,0.25,7.2,2.2,88.0,0.5,90.05741626794259,73.89,0,0,3
STP-85821,RT-0022,1.7,0,14.18,9.5,6,0,22,3,1,0,0.0,0.0,0.25,11.1,3.9,90.0,0.6,89.5578947368421,75.89,0,0,3
STP-99224,RT-0022,4.9,0,23.66,15.8,7,0,22,3,1,0,0.0,2.2,0.25,12.799999999999999,1.7,70.0,0.7,89.84810126582278,55.89,0,0,3
STP-63788,RT-0022,2.8,0,17.44,11.6,8,0,23,3,1,0,0.0,28.0,0.25,17.7,4.9,62.0,0.8,90.20689655172414,47.89,0,0,3
