road_type,traffic_level,weather_condition,time_bucket,sample_count,mean_delay_min,median_delay_min,p90_delay_min,p95_delay_min,std_delay_min,on_time_rate,delay_probability
highway,congested,rain,evening_rush,160,21.06,17.9,31.84,34.95,8.42,0.298,0.702
highway,congested,rain,night,136,12.96,11.02,19.59,21.51,5.18,0.568,0.432
highway,congested,snow,morning_rush,44,29.25,24.86,44.23,48.55,11.7,0.025,0.975
highway,congested,snow,midday,31,22.5,19.12,34.02,37.35,9.0,0.25,0.75
highway,congested,snow,evening_rush,177,29.25,24.86,44.23,48.55,11.7,0.025,0.975
highway,congested,snow,night,191,18.0,15.3,27.22,29.88,7.2,0.4,0.6
highway,congested,wind,morning_rush,123,14.04,11.93,21.23,23.31,5.62,0.532,0.468
highway,congested,wind,midday,181,10.8,9.18,16.33,17.93,4.32,0.64,0.36
highway,congested,wind,evening_rush,154,14.04,11.93,21.23,23.31,5.62,0.532,0.468
highway,congested,wind,night,101,8.64,7.34,13.07,14.35,3.46,0.712,0.288
urban,low,clear,morning_rush,128,15.6,13.26,23.59,25.9,6.24,0.48,0.52
urban,low,clear,midday,97,12.0,10.2,18.14,19.92,4.8,0.6,0.4
urban,low,clear,evening_rush,52,15.6,13.26,23.59,25.9,6.24,0.48,0.52
urban,low,clear,night,104,9.6,8.16,14.52,15.94,3.84,0.68,0.32
urban,low,cloudy,morning_rush,136,17.16,14.59,25.94,28.48,6.86,0.428,0.572
urban,low,cloudy,midday,33,13.2,11.22,19.96,21.91,5.28,0.56,0.44
urban,low,cloudy,evening_rush,124,17.16,14.59,25.94,28.48,6.86,0.428,0.572
urban,low,cloudy,night,184,10.56,8.98,15.96,17.52,4.22,0.648,0.352
urban,low,fog,morning_rush,160,23.4,19.89,35.38,38.84,9.36,0.22,0.78
urban,low,fog,midday,186,18.0,15.3,27.22,29.88,7.2,0.4,0.6
urban,low,fog,evening_rush,20,23.4,19.89,35.38,38.84,9.36,0.22,0.78
urban,low,fog,night,56,14.4,12.24,21.77,23.9,5.76,0.52,0.48
urban,low,rain,morning_rush,129,28.08,23.87,42.45,46.61,11.23,0.064,0.936
urban,low,rain,midday,168,21.6,18.36,32.66,35.86,8.64,0.28,0.72
urban,low,rain,evening_rush,188,28.08,23.87,42.45,46.61,11.23,0.064,0.936
urban,low,rain,night,70,17.28,14.69,26.12,28.68,6.91,0.424,0.576
urban,low,snow,morning_rush,82,39.0,33.15,58.97,64.74,15.6,0.02,0.98
urban,low,snow,midday,38,30.0,25.5,45.36,49.8,12.0,0.02,0.98
urban,low,snow,evening_rush,115,39.0,33.15,58.97,64.74,15.6,0.02,0.98
urban,low,snow,night,87,24.0,20.4,36.29,39.84,9.6,0.2,0.8
urban,low,wind,morning_rush,65,18.72,15.91,28.31,31.08,7.49,0.376,0.624
urban,low,wind,midday,200,14.4,12.24,21.77,23.9,5.76,0.52,0.48
urban,low,wind,evening_rush,70,18.72,15.91,28.31,31.08,7.49,0.376,0.624
urban,low,wind,night,23,11.52,9.79,17.42,19.13,4.61,0.616,0.384
urban,moderate,clear,morning_rush,123,21.84,18.56,33.03,36.26,8.74,0.272,0.728
urban,moderate,clear,midday,28,16.8,14.28,25.4,27.89,6.72,0.44,0.56
urban,moderate,clear,evening_rush,33,21.84,18.56,33.03,36.26,8.74,0.272,0.728
urban,moderate,clear,night,67,13.44,11.42,20.33,22.32,5.38,0.552,0.448
urban,moderate,cloudy,morning_rush,69,24.02,20.42,36.32,39.88,9.61,0.199,0.801
urban,moderate,cloudy,midday,33,18.48,15.71,27.94,30.67,7.39,0.384,0.616
urban,moderate,cloudy,evening_rush,67,24.02,20.42,36.32,39.88,9.61,0.199,0.801
urban,moderate,cloudy,night,148,14.78,12.56,22.34,24.53,5.91,0.507,0.493
urban,moderate,fog,morning_rush,130,32.76,27.85,49.53,54.38,13.1,0.02,0.98
urban,moderate,fog,midday,105,25.2,21.42,38.1,41.83,10.08,0.16,0.84
urban,moderate,fog,evening_rush,185,32.76,27.85,49.53,54.38,13.1,0.02,0.98
urban,moderate,fog,night,196,20.16,17.14,30.48,33.46,8.06,0.328,0.672
urban,moderate,rain,morning_rush,105,39.31,33.41,59.43,65.25,15.72,0.02,0.98
urban,moderate,rain,midday,198,30.24,25.7,45.73,50.2,12.1,0.02,0.98
urban,moderate,rain,evening_rush,24,39.31,33.41,59.43,65.25,15.72,0.02,0.98
urban,moderate,rain,night,192,24.19,20.56,36.58,40.16,9.68,0.194,0.806
urban,moderate,snow,morning_rush,103,54.6,46.41,82.56,90.64,21.84,0.02,0.98
urban,moderate,snow,midday,55,42.0,35.7,63.5,69.72,16.8,0.02,0.98
urban,moderate,snow,evening_rush,63,54.6,46.41,82.56,90.64,21.84,0.02,0.98
urban,moderate,snow,night,93,33.6,28.56,50.8,55.78,13.44,0.02,0.98
urban,moderate,wind,morning_rush,44,26.21,22.28,39.62,43.5,10.48,0.126,0.874
urban,moderate,wind,midday,44,20.16,17.14,30.48,33.46,8.06,0.328,0.672
urban,moderate,wind,evening_rush,94,26.21,22.28,39.62,43.5,10.48,0.126,0.874
urban,moderate,wind,night,59,16.13,13.71,24.39,26.77,6.45,0.462,0.538
urban,high,clear,morning_rush,26,31.2,26.52,47.17,51.79,12.48,0.02,0.98
urban,high,clear,midday,123,24.0,20.4,36.29,39.84,9.6,0.2,0.8
urban,high,clear,evening_rush,124,31.2,26.52,47.17,51.79,12.48,0.02,0.98
urban,high,clear,night,142,19.2,16.32,29.03,31.87,7.68,0.36,0.64
urban,high,cloudy,morning_rush,29,34.32,29.17,51.89,56.97,13.73,0.02,0.98
urban,high,cloudy,midday,46,26.4,22.44,39.92,43.82,10.56,0.12,0.88
urban,high,cloudy,evening_rush,100,34.32,29.17,51.89,56.97,13.73,0.02,0.98
urban,high,cloudy,night,39,21.12,17.95,31.94,35.06,8.45,0.296,0.704
urban,high,fog,morning_rush,85,46.8,39.78,70.76,77.69,18.72,0.02,0.98
urban,high,fog,midday,101,36.0,30.6,54.43,59.76,14.4,0.02,0.98
urban,high,fog,evening_rush,170,46.8,39.78,70.76,77.69,18.72,0.02,0.98
urban,high,fog,night,164,28.8,24.48,43.55,47.81,11.52,0.04,0.96
urban,high,rain,morning_rush,56,56.16,47.74,84.91,93.22,22.46,0.02,0.98
urban,high,rain,midday,24,43.2,36.72,65.32,71.71,17.28,0.02,0.98
urban,high,rain,evening_rush,44,56.16,47.74,84.91,93.22,22.46,0.02,0.98
urban,high,rain,night,122,34.56,29.38,52.25,57.36,13.82,0.02,0.98
urban,high,snow,morning_rush,128,78.0,66.3,117.94,129.48,31.2,0.02,0.98
urban,high,snow,midday,83,60.0,51.0,90.72,99.6,24.0,0.02,0.98
urban,high,snow,evening_rush,72,78.0,66.3,117.94,129.48,31.2,0.02,0.98
urban,high,snow,night,152,48.0,40.8,72.58,79.68,19.2,0.02,0.98
urban,high,wind,morning_rush,56,37.44,31.82,56.61,62.16,14.98,0.02,0.98
urban,high,wind,midday,52,28.8,24.48,43.55,47.81,11.52,0.04,0.96
urban,high,wind,evening_rush,54,37.44,31.82,56.61,62.16,14.98,0.02,0.98
urban,high,wind,night,54,23.04,19.58,34.84,38.25,9.22,0.232,0.768
urban,congested,clear,morning_rush,91,46.8,39.78,70.76,77.69,18.72,0.02,0.98
urban,congested,clear,midday,29,36.0,30.6,54.43,59.76,14.4,0.02,0.98
urban,congested,clear,evening_rush,28,46.8,39.78,70.76,77.69,18.72,0.02,0.98
urban,congested,clear,night,101,28.8,24.48,43.55,47.81,11.52,0.04,0.96
urban,congested,cloudy,morning_rush,79,51.48,43.76,77.84,85.45,20.59,0.02,0.98
urban,congested,cloudy,midday,170,39.6,33.66,59.88,65.74,15.84,0.02,0.98
urban,congested,cloudy,evening_rush,53,51.48,43.76,77.84,85.45,20.59,0.02,0.98
urban,congested,cloudy,night,67,31.68,26.93,47.9,52.59,12.67,0.02,0.98
urban,congested,fog,morning_rush,190,70.2,59.67,106.14,116.53,28.08,0.02,0.98
urban,congested,fog,midday,65,54.0,45.9,81.65,89.64,21.6,0.02,0.98
urban,congested,fog,evening_rush,32,70.2,59.67,106.14,116.53,28.08,0.02,0.98
urban,congested,fog,night,115,43.2,36.72,65.32,71.71,17.28,0.02,0.98
urban,congested,rain,morning_rush,116,84.24,71.6,127.38,139.84,33.7,0.02,0.98
urban,congested,rain,midday,55,64.8,55.08,97.98,107.57,25.92,0.02,0.98
urban,congested,rain,evening_rush,187,84.24,71.6,127.38,139.84,33.7,0.02,0.98
urban,congested,rain,night,27,51.84,44.06,78.39,86.06,20.74,0.02,0.98
urban,congested,snow,morning_rush,44,117.0,99.45,176.9,194.22,46.8,0.02,0.98
urban,congested,snow,midday,189,90.0,76.5,136.08,149.4,36.0,0.02,0.98
urban,congested,snow,evening_rush,177,117.0,99.45,176.9,194.22,46.8,0.02,0.98
urban,congested,snow,night,31,72.0,61.2,108.86,119.52,28.8,0.02,0.98
urban,congested,wind,morning_rush,39,56.16,47.74,84.91,93.22,22.46,0.02,0.98
urban,congested,wind,midday,49,43.2,36.72,65.32,71.71,17.28,0.02,0.98
urban,congested,wind,evening_rush,73,56.16,47.74,84.91,93.22,22.46,0.02,0.98
urban,congested,wind,night,85,34.56,29.38,52.25,57.36,13.82,0.02,0.98
rural,low,clear,morning_rush,156,7.8,6.63,11.79,12.95,3.12,0.74,0.26
rural,low,clear,midday,98,6.0,5.1,9.07,9.96,2.4,0.8,0.2
rural,low,clear,evening_rush,73,7.8,6.63,11.79,12.95,3.12,0.74,0.26
rural,low,clear,night,77,4.8,4.08,7.26,7.97,1.92,0.84,0.16
rural,low,cloudy,morning_rush,167,8.58,7.29,12.97,14.24,3.43,0.714,0.286
rural,low,cloudy,midday,45,6.6,5.61,9.98,10.96,2.64,0.78,0.22
rural,low,cloudy,evening_rush,69,8.58,7.29,12.97,14.24,3.43,0.714,0.286
rural,low,cloudy,night,78,5.28,4.49,7.98,8.76,2.11,0.824,0.176
rural,low,fog,morning_rush,184,11.7,9.94,17.69,19.42,4.68,0.61,0.39
rural,low,fog,midday,64,9.0,7.65,13.61,14.94,3.6,0.7,0.3
rural,low,fog,evening_rush,113,11.7,9.94,17.69,19.42,4.68,0.61,0.39
rural,low,fog,night,66,7.2,6.12,10.89,11.95,2.88,0.76,0.24
rural,low,rain,morning_rush,152,14.04,11.93,21.23,23.31,5.62,0.532,0.468
rural,low,rain,midday,116,10.8,9.18,16.33,17.93,4.32,0.64,0.36
rural,low,rain,evening_rush,49,14.04,11.93,21.23,23.31,5.62,0.532,0.468
rural,low,rain,night,74,8.64,7.34,13.07,14.35,3.46,0.712,0.288
rural,low,snow,morning_rush,60,19.5,16.57,29.48,32.37,7.8,0.35,0.65
rural,low,snow,midday,82,15.0,12.75,22.68,24.9,6.0,0.5,0.5
rural,low,snow,evening_rush,173,19.5,16.57,29.48,32.37,7.8,0.35,0.65
rural,low,snow,night,85,12.0,10.2,18.14,19.92,4.8,0.6,0.4
rural,low,wind,morning_rush,105,9.36,7.96,14.15,15.53,3.74,0.688,0.312
rural,low,wind,midday,125,7.2,6.12,10.89,11.95,2.88,0.76,0.24
rural,low,wind,evening_rush,193,9.36,7.96,14.15,15.53,3.74,0.688,0.312
rural,low,wind,night,92,5.76,4.9,8.7,9.55,2.3,0.808,0.192
rural,moderate,clear,morning_rush,105,10.92,9.28,16.51,18.13,4.37,0.636,0.364
rural,moderate,clear,midday,52,8.4,7.14,12.7,13.94,3.36,0.72,0.28
rural,moderate,clear,evening_rush,75,10.92,9.28,16.51,18.13,4.37,0.636,0.364
rural,moderate,clear,night,97,6.72,5.71,10.16,11.16,2.69,0.776,0.224
rural,moderate,cloudy,morning_rush,67,12.01,10.21,18.15,19.93,4.8,0.6,0.4
rural,moderate,cloudy,midday,148,9.24,7.85,13.98,15.34,3.7,0.692,0.308
rural,moderate,cloudy,evening_rush,122,12.01,10.21,18.15,19.93,4.8,0.6,0.4
rural,moderate,cloudy,night,96,7.39,6.28,11.18,12.27,2.96,0.754,0.246
rural,moderate,fog,morning_rush,96,16.38,13.92,24.76,27.19,6.55,0.454,0.546
rural,moderate,fog,midday,176,12.6,10.71,19.05,20.92,5.04,0.58,0.42
rural,moderate,fog,evening_rush,133,16.38,13.92,24.76,27.19,6.55,0.454,0.546
rural,moderate,fog,night,129,10.08,8.57,15.24,16.73,4.03,0.664,0.336
rural,moderate,rain,morning_rush,21,19.66,16.71,29.72,32.63,7.86,0.345,0.655
rural,moderate,rain,midday,64,15.12,12.85,22.86,25.1,6.05,0.496,0.504
rural,moderate,rain,evening_rush,87,19.66,16.71,29.72,32.63,7.86,0.345,0.655
rural,moderate,rain,night,169,12.1,10.29,18.3,20.09,4.84,0.597,0.403
rural,moderate,snow,morning_rush,151,27.3,23.2,41.28,45.32,10.92,0.09,0.91
rural,moderate,snow,midday,130,21.0,17.85,31.75,34.86,8.4,0.3,0.7
rural,moderate,snow,evening_rush,129,27.3,23.2,41.28,45.32,10.92,0.09,0.91
rural,moderate,snow,night,69,16.8,14.28,25.4,27.89,6.72,0.44,0.56
rural,moderate,wind,morning_rush,88,13.1,11.13,19.81,21.75,5.24,0.563,0.437
rural,moderate,wind,midday,64,10.08,8.57,15.24,16.73,4.03,0.664,0.336
rural,moderate,wind,evening_rush,33,13.1,11.13,19.81,21.75,5.24,0.563,0.437
rural,moderate,wind,night,169,8.06,6.85,12.18,13.37,3.22,0.731,0.269
rural,high,clear,morning_rush,111,15.6,13.26,23.59,25.9,6.24,0.48,0.52
rural,high,clear,midday,83,12.0,10.2,18.14,19.92,4.8,0.6,0.4
rural,high,clear,evening_rush,131,15.6,13.26,23.59,25.9,6.24,0.48,0.52
rural,high,clear,night,136,9.6,8.16,14.52,15.94,3.84,0.68,0.32
rural,high,cloudy,morning_rush,182,17.16,14.59,25.94,28.48,6.86,0.428,0.572
rural,high,cloudy,midday,191,13.2,11.22,19.96,21.91,5.28,0.56,0.44
rural,high,cloudy,evening_rush,141,17.16,14.59,25.94,28.48,6.86,0.428,0.572
rural,high,cloudy,night,180,10.56,8.98,15.96,17.52,4.22,0.648,0.352
rural,high,fog,morning_rush,82,23.4,19.89,35.38,38.84,9.36,0.22,0.78
rural,high,fog,midday,90,18.0,15.3,27.22,29.88,7.2,0.4,0.6
rural,high,fog,evening_rush,189,23.4,19.89,35.38,38.84,9.36,0.22,0.78
rural,high,fog,night,166,14.4,12.24,21.77,23.9,5.76,0.52,0.48
rural,high,rain,morning_rush,160,28.08,23.87,42.45,46.61,11.23,0.064,0.936
rural,high,rain,midday,183,21.6,18.36,32.66,35.86,8.64,0.28,0.72
rural,high,rain,evening_rush,180,28.08,23.87,42.45,46.61,11.23,0.064,0.936
rural,high,rain,night,112,17.28,14.69,26.12,28.68,6.91,0.424,0.576
rural,high,snow,morning_rush,65,39.0,33.15,58.97,64.74,15.6,0.02,0.98
rural,high,snow,midday,179,30.0,25.5,45.36,49.8,12.0,0.02,0.98
rural,high,snow,evening_rush,140,39.0,33.15,58.97,64.74,15.6,0.02,0.98
rural,high,snow,night,79,24.0,20.4,36.29,39.84,9.6,0.2,0.8
rural,high,wind,morning_rush,111,18.72,15.91,28.31,31.08,7.49,0.376,0.624
rural,high,wind,midday,123,14.4,12.24,21.77,23.9,5.76,0.52,0.48
rural,high,wind,evening_rush,43,18.72,15.91,28.31,31.08,7.49,0.376,0.624
rural,high,wind,night,105,11.52,9.79,17.42,19.13,4.61,0.616,0.384
rural,congested,clear,morning_rush,196,23.4,19.89,35.38,38.84,9.36,0.22,0.78
rural,congested,clear,midday,65,18.0,15.3,27.22,29.88,7.2,0.4,0.6
rural,congested,clear,evening_rush,118,23.4,19.89,35.38,38.84,9.36,0.22,0.78
rural,congested,clear,night,123,14.4,12.24,21.77,23.9,5.76,0.52,0.48
rural,congested,cloudy,morning_rush,114,25.74,21.88,38.92,42.73,10.3,0.142,0.858
rural,congested,cloudy,midday,105,19.8,16.83,29.94,32.87,7.92,0.34,0.66
rural,congested,cloudy,evening_rush,164,25.74,21.88,38.92,42.73,10.3,0.142,0.858
rural,congested,cloudy,night,36,15.84,13.46,23.96,26.3,6.34,0.472,0.528
rural,congested,fog,morning_rush,88,35.1,29.84,53.07,58.27,14.04,0.02,0.98
rural,congested,fog,midday,144,27.0,22.95,40.82,44.82,10.8,0.1,0.9
rural,congested,fog,evening_rush,119,35.1,29.84,53.07,58.27,14.04,0.02,0.98
rural,congested,fog,night,60,21.6,18.36,32.66,35.86,8.64,0.28,0.72
rural,congested,rain,morning_rush,114,42.12,35.8,63.69,69.92,16.85,0.02,0.98
rural,congested,rain,midday,83,32.4,27.54,48.99,53.78,12.96,0.02,0.98
rural,congested,rain,evening_rush,183,42.12,35.8,63.69,69.92,16.85,0.02,0.98
rural,congested,rain,night,150,25.92,22.03,39.19,43.03,10.37,0.136,0.864
rural,congested,snow,morning_rush,35,58.5,49.73,88.45,97.11,23.4,0.02,0.98
rural,congested,snow,midday,178,45.0,38.25,68.04,74.7,18.0,0.02,0.98
rural,congested,snow,evening_rush,126,58.5,49.73,88.45,97.11,23.4,0.02,0.98
rural,congested,snow,night,126,36.0,30.6,54.43,59.76,14.4,0.02,0.98
rural,congested,wind,morning_rush,96,28.08,23.87,42.45,46.61,11.23,0.064,0.936
rural,congested,wind,midday,46,21.6,18.36,32.66,35.86,8.64,0.28,0.72
rural,congested,wind,evening_rush,88,28.08,23.87,42.45,46.61,11.23,0.064,0.936
rural,congested,wind,night,141,17.28,14.69,26.12,28.68,6.91,0.424,0.576
mountain,low,clear,morning_rush,114,19.5,16.57,29.48,32.37,7.8,0.35,0.65
mountain,low,clear,midday,76,15.0,12.75,22.68,24.9,6.0,0.5,0.5
mountain,low,clear,evening_rush,83,19.5,16.57,29.48,32.37,7.8,0.35,0.65
mountain,low,clear,night,123,12.0,10.2,18.14,19.92,4.8,0.6,0.4
mountain,low,cloudy,morning_rush,168,21.45,18.23,32.43,35.61,8.58,0.285,0.715
mountain,low,cloudy,midday,198,16.5,14.03,24.95,27.39,6.6,0.45,0.55
mountain,low,cloudy,evening_rush,114,21.45,18.23,32.43,35.61,8.58,0.285,0.715
mountain,low,cloudy,night,60,13.2,11.22,19.96,21.91,5.28,0.56,0.44
mountain,low,fog,morning_rush,93,29.25,24.86,44.23,48.55,11.7,0.025,0.975
mountain,low,fog,midday,133,22.5,19.12,34.02,37.35,9.0,0.25,0.75
mountain,low,fog,evening_rush,89,29.25,24.86,44.23,48.55,11.7,0.025,0.975
mountain,low,fog,night,120,18.0,15.3,27.22,29.88,7.2,0.4,0.6
mountain,low,rain,morning_rush,131,35.1,29.84,53.07,58.27,14.04,0.02,0.98
mountain,low,rain,midday,101,27.0,22.95,40.82,44.82,10.8,0.1,0.9
mountain,low,rain,evening_rush,190,35.1,29.84,53.07,58.27,14.04,0.02,0.98
mountain,low,rain,night,79,21.6,18.36,32.66,35.86,8.64,0.28,0.72
mountain,low,snow,morning_rush,106,48.75,41.44,73.71,80.92,19.5,0.02,0.98
mountain,low,snow,midday,73,37.5,31.88,56.7,62.25,15.0,0.02,0.98
mountain,low,snow,evening_rush,163,48.75,41.44,73.71,80.92,19.5,0.02,0.98
mountain,low,snow,night,168,30.0,25.5,45.36,49.8,12.0,0.02,0.98
mountain,low,wind,morning_rush,198,23.4,19.89,35.38,38.84,9.36,0.22,0.78
mountain,low,wind,midday,196,18.0,15.3,27.22,29.88,7.2,0.4,0.6
mountain,low,wind,evening_rush,199,23.4,19.89,35.38,38.84,9.36,0.22,0.78
mountain,low,wind,night,124,14.4,12.24,21.77,23.9,5.76,0.52,0.48
mountain,moderate,clear,morning_rush,52,27.3,23.2,41.28,45.32,10.92,0.09,0.91
mountain,moderate,clear,midday,182,21.0,17.85,31.75,34.86,8.4,0.3,0.7
mountain,moderate,clear,evening_rush,167,27.3,23.2,41.28,45.32,10.92,0.09,0.91
mountain,moderate,clear,night,161,16.8,14.28,25.4,27.89,6.72,0.44,0.56
mountain,moderate,cloudy,morning_rush,106,30.03,25.53,45.4,49.85,12.01,0.02,0.98
mountain,moderate,cloudy,midday,83,23.1,19.64,34.93,38.35,9.24,0.23,0.77
