obs_id,timestamp,latitude,longitude,weather_condition,temperature_c,feels_like_c,precipitation_mm,precipitation_type,wind_speed_kmh,wind_direction_deg,humidity_pct,pressure_hpa,visibility_km,cloud_cover_pct,uv_index,road_surface_condition,delay_risk_score
WOB-20011,2025-04-02 09:00:00,39.470917,36.972857,clear,13.4,10.9,0.0,none,50.8,21,46.6,1015.7,14.1,19.4,3.1,dry,0.085
WOB-20012,2025-04-02 12:00:00,39.825656,37.031717,cloudy,10.4,7.9,0.0,none,49.8,117,87.3,980.6,9.0,85.8,6.9,dry,0.256
WOB-20013,2025-04-02 15:00:00,39.531919,37.000624,wind,14.4,12.3,0.0,none,42.9,34,84.8,997.3,10.9,17.2,2.0,dry,0.19
WOB-20014,2025-04-02 18:00:00,39.347186,37.174556,wind,21.0,19.7,0.0,none,25.6,185,74.7,1003.8,17.4,62.0,3.6,dry,0.239
WOB-20015,2025-04-02 21:00:00,39.424349,37.250555,snow,24.0,21.3,9.9,snow,54.6,63,39.6,1002.8,15.9,50.2,5.3,icy,0.795
WOB-20016,2025-04-03 00:00:00,39.560145,36.908502,snow,13.7,12.4,8.7,snow,25.5,353,68.9,995.3,13.8,98.5,3.8,icy,0.66
WOB-20017,2025-04-03 03:00:00,39.296271,37.06379,wind,21.1,20.3,0.0,none,16.5,18,82.7,1023.1,11.7,98.6,4.3,dry,0.292
WOB-20018,2025-04-03 06:00:00,39.358469,37.114671,rain,13.8,13.2,2.4,rain,12.2,266,45.3,1008.4,13.4,10.3,7.8,wet,0.52
WOB-20019,2025-04-03 09:00:00,39.860591,37.196607,wind,9.9,8.7,0.0,none,23.5,88,63.6,1005.7,17.3,4.9,4.6,dry,0.2
WOB-20020,2025-04-03 12:00:00,39.361014,37.422275,cloudy,17.0,14.6,0.0,none,49.0,8,34.1,1006.1,5.2,46.1,3.0,dry,0.222
WOB-20021,2025-04-03 15:00:00,39.590676,37.361427,clear,23.0,21.1,0.0,none,37.9,246,76.5,986.1,15.1,54.8,6.5,dry,0.068
WOB-20022,2025-04-03 18:00:00,39.364662,37.187123,cloudy,5.0,4.1,0.0,none,17.3,163,72.2,1012.1,18.8,8.5,4.1,dry,0.264
WOB-20023,2025-04-03 21:00:00,39.585232,36.896777,clear,16.4,14.0,0.0,none,47.0,161,50.1,1023.3,16.5,58.9,6.7,dry,0.061
WOB-20024,2025-04-04 00:00:00,39.784711,37.082994,clear,20.2,17.9,0.0,none,46.4,93,30.2,1020.9,5.3,27.9,2.6,dry,0.107
WOB-20025,2025-04-04 03:00:00,39.682322,37.105138,wind,7.7,7.5,0.0,none,4.5,342,55.3,993.4,5.3,7.4,7.2,dry,0.222
WOB-20026,2025-04-04 06:00:00,39.895182,36.957357,rain,20.8,20.5,1.8,rain,5.4,144,30.1,1002.4,17.6,32.4,3.2,wet,0.529
WOB-20027,2025-04-04 09:00:00,39.593188,36.936253,snow,13.7,11.9,1.1,snow,36.9,214,65.6,994.7,10.5,14.1,4.3,icy,0.819
WOB-20028,2025-04-04 12:00:00,39.363856,37.103414,snow,7.5,6.1,6.1,snow,27.5,284,63.8,1011.8,5.2,11.8,4.2,icy,0.73
WOB-20029,2025-04-04 15:00:00,39.459697,37.213953,wind,10.1,8.3,0.0,none,36.9,92,53.6,1022.2,10.5,56.9,7.2,dry,0.201
WOB-20030,2025-04-04 18:00:00,39.502129,37.29108,clear,12.9,12.8,0.0,none,1.3,183,59.5,1028.2,6.3,52.2,4.5,dry,0.066
WOB-20031,2025-04-04 21:00:00,39.732737,37.486279,cloudy,10.0,9.8,0.0,none,4.7,292,54.0,987.0,17.8,7.3,3.7,dry,0.229
WOB-20032,2025-04-05 00:00:00,39.403551,36.863149,fog,-6.3,-6.7,0.0,none,7.1,70,61.7,999.3,2.9,18.5,0.6,dry,0.391
WOB-20033,2025-04-05 03:00:00,39.614554,37.457976,snow,7.9,7.1,8.5,snow,16.8,223,47.3,988.1,14.1,60.3,3.8,icy,0.666
WOB-20034,2025-04-05 06:00:00,39.385034,37.311988,snow,7.6,5.0,12.3,snow,52.9,136,89.6,985.3,18.7,55.4,5.4,icy,0.721
WOB-20035,2025-04-05 09:00:00,39.288493,37.391445,fog,-0.1,-1.1,0.0,none,19.1,72,38.2,1023.5,4.1,49.7,0.0,dry,0.408
WOB-20036,2025-04-05 12:00:00,39.828933,37.087006,snow,27.9,26.7,1.4,snow,24.0,27,59.9,990.6,18.9,13.6,6.8,icy,0.759
WOB-20037,2025-04-05 15:00:00,39.819835,36.995999,rain,24.4,22.6,13.8,rain,36.7,29,35.8,1006.0,18.3,94.5,6.5,wet,0.547
WOB-20038,2025-04-05 18:00:00,39.89558,36.850742,cloudy,18.3,16.9,0.0,none,27.2,277,90.1,1019.7,6.4,37.3,3.9,dry,0.233
WOB-20039,2025-04-05 21:00:00,39.241301,36.881318,clear,19.3,17.4,0.0,none,38.5,190,93.4,1010.5,16.3,84.4,7.1,dry,0.0
WOB-20040,2025-04-06 00:00:00,39.723272,36.830534,clear,26.6,25.7,0.0,none,18.9,185,44.8,1020.8,11.4,79.4,0.4,dry,0.091
WOB-20041,2025-04-06 03:00:00,39.67634,36.803222,snow,16.6,14.2,7.2,snow,48.6,247,46.7,1015.0,13.9,98.8,0.7,icy,0.761
WOB-20042,2025-04-06 06:00:00,39.652102,37.358214,snow,8.8,6.7,10.8,snow,41.9,267,60.4,1009.7,8.4,57.3,6.9,icy,0.731
WOB-20043,2025-04-06 09:00:00,39.785433,36.861664,rain,9.0,7.6,4.5,rain,28.3,319,81.5,1005.7,6.7,14.1,3.8,wet,0.606
WOB-20044,2025-04-06 12:00:00,39.249506,36.980472,fog,16.2,13.5,0.0,none,54.1,23,40.0,1018.7,3.9,66.4,3.2,dry,0.381
WOB-20045,2025-04-06 15:00:00,39.74857,37.30986,wind,18.7,17.8,0.0,none,17.8,224,46.6,1018.2,19.6,82.4,2.7,dry,0.301
WOB-20046,2025-04-06 18:00:00,39.504795,37.321732,cloudy,12.5,9.9,0.0,none,51.7,229,42.6,1007.4,19.7,99.0,8.0,dry,0.208
WOB-20047,2025-04-06 21:00:00,39.422544,36.959496,fog,23.6,22.0,0.0,none,32.8,322,93.0,994.9,4.9,91.5,4.3,dry,0.375
WOB-20048,2025-04-07 00:00:00,39.235085,37.052074,fog,10.6,9.3,0.0,none,26.7,317,51.8,984.0,2.1,96.1,1.3,dry,0.447
WOB-20049,2025-04-07 03:00:00,39.735962,36.874998,snow,21.1,19.5,9.1,snow,32.5,252,70.9,995.5,10.0,2.8,7.9,icy,0.835
WOB-20050,2025-04-07 06:00:00,39.745236,37.458983,clear,17.8,17.6,0.0,none,5.0,48,69.1,1014.3,6.5,14.2,6.4,dry,0.085
WOB-20051,2025-04-07 09:00:00,39.317733,36.816655,wind,26.3,26.1,0.0,none,3.2,317,54.1,991.7,15.5,81.8,7.5,dry,0.223
WOB-20052,2025-04-07 12:00:00,39.666803,36.927569,wind,26.3,23.3,0.0,none,59.9,160,81.0,1025.0,18.4,35.7,7.7,dry,0.222
WOB-20053,2025-04-07 15:00:00,39.255258,36.877696,clear,19.5,17.1,0.0,none,48.7,109,86.1,1026.5,18.8,90.7,2.8,dry,0.144
WOB-20054,2025-04-07 18:00:00,39.437849,37.106643,wind,10.9,9.6,0.0,none,26.4,22,92.1,1004.6,18.4,76.5,5.6,dry,0.189
WOB-20055,2025-04-07 21:00:00,39.612921,37.05631,cloudy,5.1,2.3,0.0,none,55.8,14,89.4,1013.3,15.6,82.9,0.4,dry,0.214
WOB-20056,2025-04-08 00:00:00,39.342284,37.428084,rain,12.2,11.3,3.6,rain,18.2,60,30.2,997.4,15.8,93.8,7.0,wet,0.623
WOB-20057,2025-04-08 03:00:00,39.409924,37.229402,rain,25.6,24.7,14.6,rain,17.1,48,92.1,1029.5,6.1,33.7,4.9,wet,0.569
WOB-20058,2025-04-08 06:00:00,39.46166,37.196958,cloudy,22.3,20.0,0.0,none,45.6,75,33.0,999.4,8.7,3.3,3.3,dry,0.188
WOB-20059,2025-04-08 09:00:00,39.839805,37.376973,rain,5.5,4.3,9.8,rain,23.9,30,34.8,999.3,11.4,43.9,2.1,wet,0.522
WOB-20060,2025-04-08 12:00:00,39.287714,37.422834,wind,36.1,34.6,0.0,none,30.1,111,73.0,1008.5,15.4,28.9,4.6,dry,0.148
WOB-20061,2025-04-08 15:00:00,39.731134,37.392558,fog,16.1,14.9,0.0,none,23.6,171,51.3,990.9,2.8,63.3,6.6,dry,0.392
WOB-20062,2025-04-08 18:00:00,39.473814,37.000108,clear,-8.2,-9.1,0.0,none,18.8,235,64.9,989.2,7.0,6.1,1.5,dry,0.106
WOB-20063,2025-04-08 21:00:00,39.248821,37.31606,snow,13.7,12.8,11.9,snow,18.5,16,67.1,1012.2,17.8,89.2,6.7,icy,0.723
WOB-20064,2025-04-09 00:00:00,39.839467,37.157306,clear,14.5,12.2,0.0,none,45.9,124,30.9,1024.3,13.1,11.7,3.1,dry,0.104
WOB-20065,2025-04-09 03:00:00,39.870381,37.446471,rain,15.8,15.0,13.9,rain,16.9,233,51.7,1023.8,15.2,56.3,6.3,wet,0.577
WOB-20066,2025-04-09 06:00:00,39.615518,37.096448,snow,-0.0,-0.3,13.0,snow,5.3,85,55.7,991.5,13.9,84.3,3.4,icy,0.78
WOB-20067,2025-04-09 09:00:00,39.564463,36.854416,cloudy,19.9,19.5,0.0,none,8.5,236,93.9,1024.5,10.6,69.5,1.0,dry,0.101
WOB-20068,2025-04-09 12:00:00,39.204283,36.932332,rain,25.8,25.1,12.7,rain,13.5,358,92.2,984.9,16.3,79.5,5.8,wet,0.609
WOB-20069,2025-04-09 15:00:00,39.600996,37.142183,cloudy,30.9,29.3,0.0,none,31.5,2,74.6,1008.3,6.9,43.4,6.2,dry,0.245
WOB-20070,2025-04-09 18:00:00,39.816507,37.198283,snow,5.9,4.2,5.3,snow,33.0,237,74.9,1003.5,16.0,70.4,0.8,icy,0.774
WOB-20071,2025-04-09 21:00:00,39.535125,37.335912,snow,2.5,0.2,11.4,snow,46.4,358,69.3,990.8,18.8,54.7,3.0,icy,0.742
WOB-20072,2025-04-10 00:00:00,39.393278,37.473011,cloudy,4.5,1.8,0.0,none,54.0,159,86.3,1012.9,17.1,99.5,1.1,dry,0.196
WOB-20073,2025-04-10 03:00:00,39.630529,37.175658,wind,15.1,14.9,0.0,none,3.2,320,90.2,1029.0,13.3,13.5,7.6,dry,0.22
WOB-20074,2025-04-10 06:00:00,39.347996,36.892175,clear,14.9,13.4,0.0,none,29.2,268,78.6,983.3,9.2,97.4,7.7,dry,0.14
WOB-20075,2025-04-10 09:00:00,39.209132,36.825281,snow,10.8,10.4,0.6,snow,7.6,106,93.6,993.8,14.4,71.4,1.2,icy,0.73
WOB-20076,2025-04-10 12:00:00,39.686817,36.872265,cloudy,20.9,19.8,0.0,none,21.6,190,76.7,982.1,19.0,77.7,1.0,dry,0.239
WOB-20077,2025-04-10 15:00:00,39.20202,37.489053,clear,0.5,-0.7,0.0,none,24.4,29,52.4,1019.7,10.9,23.1,6.6,dry,0.151
WOB-20078,2025-04-10 18:00:00,39.737534,37.278651,rain,7.2,5.4,9.0,rain,36.7,333,40.5,1009.9,8.4,41.6,7.1,wet,0.563
WOB-20079,2025-04-10 21:00:00,39.228614,37.461423,wind,18.1,17.2,0.0,none,17.9,298,78.7,1006.5,18.0,11.9,6.3,dry,0.247
WOB-20080,2025-04-11 00:00:00,39.634062,37.074317,fog,15.3,13.7,0.0,none,32.5,77,66.9,1020.1,2.1,20.3,0.9,dry,0.53
WOB-20081,2025-04-11 03:00:00,39.492379,37.478799,rain,17.7,15.0,6.4,rain,53.1,201,59.9,1017.7,19.5,89.1,3.1,wet,0.551
WOB-20082,2025-04-11 06:00:00,39.453436,36.842311,wind,11.4,9.7,0.0,none,34.2,297,48.7,1018.2,17.1,25.5,5.2,dry,0.268
WOB-20083,2025-04-11 09:00:00,39.702096,37.197287,rain,22.8,21.9,3.3,rain,18.4,176,30.6,1012.4,16.6,37.7,3.6,wet,0.539
WOB-20084,2025-04-11 12:00:00,39.261922,37.47806,cloudy,19.5,18.2,0.0,none,26.0,130,44.1,1000.5,17.5,13.7,6.6,dry,0.159
WOB-20085,2025-04-11 15:00:00,39.270988,37.160281,fog,24.5,23.5,0.0,none,19.2,262,71.4,1027.7,3.7,53.4,3.9,dry,0.377
WOB-20086,2025-04-11 18:00:00,39.368071,37.017794,snow,25.6,22.8,11.2,snow,55.8,43,72.8,1008.5,7.2,38.0,1.8,icy,0.729
WOB-20087,2025-04-11 21:00:00,39.863064,37.481876,snow,11.9,9.0,2.4,snow,57.9,95,87.8,1013.3,19.8,36.5,1.9,icy,0.781
WOB-20088,2025-04-12 00:00:00,39.36862,36.85508,cloudy,14.6,12.2,0.0,none,48.9,187,85.1,1006.5,17.1,40.6,3.0,dry,0.234
WOB-20089,2025-04-12 03:00:00,39.68288,37.272598,wind,13.3,11.0,0.0,none,46.7,255,51.5,1002.7,10.9,58.7,7.2,dry,0.349
WOB-20090,2025-04-12 06:00:00,39.339558,37.476938,fog,11.6,8.8,0.0,none,55.0,223,54.1,1003.6,2.3,85.7,3.1,dry,0.282
WOB-20091,2025-04-12 09:00:00,39.346035,36.99625,wind,7.2,4.3,0.0,none,57.7,40,41.5,994.3,6.0,2.2,5.6,dry,0.217
WOB-20092,2025-04-12 12:00:00,39.414445,36.861277,clear,-1.4,-4.2,0.0,none,56.2,174,42.0,1000.0,18.8,14.3,6.3,dry,0.05
WOB-20093,2025-04-12 15:00:00,39.797414,36.96767,fog,7.8,5.3,0.0,none,50.7,232,86.6,993.8,1.7,24.0,6.2,dry,0.377
WOB-20094,2025-04-12 18:00:00,39.898387,37.46756,snow,21.3,18.5,6.1,snow,56.0,333,65.4,989.8,9.3,79.3,1.3,icy,0.747
WOB-20095,2025-04-12 21:00:00,39.239086,37.1966,rain,17.8,16.9,5.1,rain,18.5,112,72.8,1002.9,15.8,10.4,7.3,wet,0.511
WOB-20096,2025-04-13 00:00:00,39.571581,37.049388,clear,26.3,24.1,0.0,none,43.9,85,39.2,986.0,12.4,36.8,4.4,dry,0.113
WOB-20097,2025-04-13 03:00:00,39.770952,37.260559,clear,23.8,22.8,0.0,none,19.1,90,58.1,1025.3,8.1,79.8,2.1,dry,0.068
WOB-20098,2025-04-13 06:00:00,39.649971,36.91452,wind,7.9,7.8,0.0,none,2.9,331,90.7,1013.8,12.5,69.2,3.3,dry,0.189
WOB-20099,2025-04-13 09:00:00,39.517076,37.204113,fog,25.5,24.8,0.0,none,13.4,204,74.3,1000.3,2.8,19.5,0.0,dry,0.335
WOB-20100,2025-04-13 12:00:00,39.690186,37.370704,fog,24.8,24.7,0.0,none,2.8,224,90.6,983.1,4.1,92.8,2.9,dry,0.362
WOB-20101,2025-04-13 15:00:00,39.538691,37.277693,wind,-7.9,-8.0,0.0,none,2.2,65,34.3,989.3,18.8,46.3,6.8,dry,0.233
WOB-20102,2025-04-13 18:00:00,39.68461,36.886393,cloudy,16.4,15.5,0.0,none,18.1,111,79.6,1006.5,19.5,62.8,0.7,dry,0.208
WOB-20103,2025-04-13 21:00:00,39.445745,36.907922,cloudy,19.5,18.9,0.0,none,11.9,200,41.4,1016.0,14.3,60.1,1.5,dry,0.182
WOB-20104,2025-04-14 00:00:00,39.46147,37.230759,wind,8.7,8.0,0.0,none,14.8,337,74.4,1025.5,6.9,14.8,1.2,dry,0.208
WOB-20105,2025-04-14 03:00:00,39.565549,37.225547,wind,16.1,14.0,0.0,none,42.0,0,48.7,1022.6,7.9,69.1,6.6,dry,0.196
WOB-20106,2025-04-14 06:00:00,39.555093,37.480395,cloudy,16.1,15.4,0.0,none,13.6,240,55.8,1025.4,11.4,55.1,3.7,dry,0.165
WOB-20107,2025-04-14 09:00:00,39.310876,37.397478,snow,19.2,18.8,11.9,snow,7.2,195,32.5,980.7,12.6,12.5,3.2,icy,0.813
WOB-20108,2025-04-14 12:00:00,39.873922,37.27444,fog,2.9,-0.0,0.0,none,58.8,323,92.5,1015.3,1.9,96.4,3.9,dry,0.303
WOB-20109,2025-04-14 15:00:00,39.745545,37.134933,wind,3.5,2.7,0.0,none,15.7,166,58.8,993.1,17.9,14.5,7.8,dry,0.281
WOB-20110,2025-04-14 18:00:00,39.69845,36.811821,cloudy,37.6,37.2,0.0,none,8.5,54,79.0,994.6,7.4,99.7,2.8,dry,0.184
WOB-20111,2025-04-14 21:00:00,39.67973,37.402163,wind,21.5,19.4,0.0,none,43.0,91,77.7,997.7,15.0,5.7,1.5,dry,0.2
WOB-20112,2025-04-15 00:00:00,39.783181,37.244802,snow,22.3,22.2,5.9,snow,3.0,245,86.2,992.2,10.8,85.5,0.9,icy,0.748
WOB-20113,2025-04-15 03:00:00,39.36542,37.139897,clear,13.4,11.9,0.0,none,29.5,161,44.9,1007.9,6.6,30.5,1.0,dry,0.175
WOB-20114,2025-04-15 06:00:00,39.480905,36.840132,snow,14.4,13.7,10.1,snow,13.2,146,73.2,991.5,10.8,82.8,3.8,icy,0.757
WOB-20115,2025-04-15 09:00:00,39.453072,36.975999,fog,9.8,9.0,0.0,none,16.6,37,82.0,1026.8,2.9,66.0,2.9,dry,0.428
WOB-20116,2025-04-15 12:00:00,39.430964,36.990133,rain,21.3,19.0,1.6,rain,46.0,291,90.7,984.6,15.1,72.1,4.7,wet,0.544
WOB-20117,2025-04-15 15:00:00,39.242139,37.3624,cloudy,7.6,6.1,0.0,none,29.8,70,31.2,988.4,17.1,97.6,5.3,dry,0.17
WOB-20118,2025-04-15 18:00:00,39.262864,37.015237,clear,6.7,6.4,0.0,none,5.8,103,67.2,1017.6,15.9,43.0,7.6,dry,0.049
WOB-20119,2025-04-15 21:00:00,39.532197,36.851935,rain,4.9,4.8,7.1,rain,2.2,218,61.9,1004.2,19.3,8.0,4.8,wet,0.565
WOB-20120,2025-04-16 00:00:00,39.871401,37.286817,cloudy,22.9,20.9,0.0,none,40.5,271,64.8,1003.8,5.4,54.5,2.8,dry,0.254
WOB-20121,2025-04-16 03:00:00,39.688799,37.016137,wind,32.5,30.4,0.0,none,41.1,59,69.2,1011.5,18.5,38.2,2.5,dry,0.203
WOB-20122,2025-04-16 06:00:00,39.327182,36.887282,clear,26.4,24.0,0.0,none,47.1,23,40.3,1009.3,14.6,35.2,0.2,dry,0.079
WOB-20123,2025-04-16 09:00:00,39.519266,37.445163,fog,7.2,4.2,0.0,none,59.6,245,30.4,982.5,3.3,14.0,7.7,dry,0.404
WOB-20124,2025-04-16 12:00:00,39.600677,37.21516,rain,9.5,8.2,10.1,rain,26.1,158,87.5,984.5,11.0,81.6,3.1,wet,0.576
WOB-20125,2025-04-16 15:00:00,39.216138,36.970985,fog,-6.9,-7.7,0.0,none,15.4,161,75.4,1003.5,2.3,3.8,5.9,dry,0.468
WOB-20126,2025-04-16 18:00:00,39.276937,37.244493,fog,4.8,1.9,0.0,none,57.8,332,53.3,1008.5,2.8,38.0,2.6,dry,0.372
WOB-20127,2025-04-16 21:00:00,39.444835,36.913058,clear,11.3,9.1,0.0,none,43.1,82,60.1,1013.7,7.7,42.7,1.9,dry,0.037
WOB-20128,2025-04-17 00:00:00,39.591714,37.198942,clear,21.7,18.9,0.0,none,55.0,171,69.8,997.4,14.3,28.2,5.3,dry,0.045
WOB-20129,2025-04-17 03:00:00,39.846342,37.32173,cloudy,12.8,12.0,0.0,none,15.7,157,76.1,1019.3,18.5,79.2,2.4,dry,0.243
WOB-20130,2025-04-17 06:00:00,39.369721,37.293981,clear,0.5,-1.3,0.0,none,35.3,132,47.9,1002.5,16.3,22.6,7.0,dry,0.17
WOB-20131,2025-04-17 09:00:00,39.302273,36.833421,rain,14.2,12.2,10.3,rain,39.4,168,62.5,986.4,13.4,72.3,5.8,wet,0.611
WOB-20132,2025-04-17 12:00:00,39.565669,37.400694,cloudy,26.9,25.3,0.0,none,32.0,138,36.5,987.9,16.6,96.7,8.0,dry,0.195
WOB-20133,2025-04-17 15:00:00,39.535251,37.010951,snow,12.3,9.7,3.0,snow,51.6,265,52.6,994.4,16.4,71.0,3.3,icy,0.756
WOB-20134,2025-04-17 18:00:00,39.371104,36.830038,fog,4.5,1.9,0.0,none,51.5,142,66.8,1022.4,1.5,38.2,0.5,dry,0.411
WOB-20135,2025-04-17 21:00:00,39.716108,37.04904,wind,7.1,4.6,0.0,none,49.4,69,80.6,990.2,7.1,86.4,2.7,dry,0.208
WOB-20136,2025-04-18 00:00:00,39.639603,37.387708,rain,21.5,20.9,9.1,rain,11.4,1,66.1,1001.5,13.7,80.6,7.4,wet,0.504
WOB-20137,2025-04-18 03:00:00,39.687034,37.077584,snow,15.6,13.9,10.7,snow,33.2,113,35.5,991.1,7.8,54.2,3.0,icy,0.769
WOB-20138,2025-04-18 06:00:00,39.669524,36.895012,cloudy,13.5,11.0,0.0,none,49.7,127,42.7,1002.9,7.4,18.3,3.3,dry,0.23
WOB-20139,2025-04-18 09:00:00,39.49098,37.319016,wind,20.3,18.3,0.0,none,39.8,345,82.1,999.8,15.7,82.2,6.6,dry,0.277
WOB-20140,2025-04-18 12:00:00,39.695492,36.898608,clear,-1.3,-4.2,0.0,none,57.0,143,54.8,1009.1,9.7,5.0,7.1,dry,0.065
WOB-20141,2025-04-18 15:00:00,39.245088,36.984447,wind,25.0,23.5,0.0,none,29.2,19,49.6,1022.1,18.3,5.8,1.8,dry,0.289
WOB-20142,2025-04-18 18:00:00,39.396232,37.07359,fog,19.5,17.1,0.0,none,48.9,92,59.1,996.8,3.4,87.2,7.4,dry,0.39
WOB-20143,2025-04-18 21:00:00,39.363641,36.895405,cloudy,16.3,13.3,0.0,none,59.6,68,51.5,1008.7,14.4,10.8,1.6,dry,0.225
WOB-20144,2025-04-19 00:00:00,39.247405,37.284581,clear,15.7,14.9,0.0,none,15.2,343,88.6,1019.2,12.0,36.5,6.5,dry,0.135
WOB-20145,2025-04-19 03:00:00,39.420632,37.429052,rain,17.7,15.9,7.4,rain,36.6,29,41.3,1012.1,16.3,21.1,0.6,wet,0.528
WOB-20146,2025-04-19 06:00:00,39.541345,36.964491,cloudy,26.0,24.3,0.0,none,33.4,110,47.6,1025.9,8.9,79.2,0.4,dry,0.156
WOB-20147,2025-04-19 09:00:00,39.899581,37.339401,snow,14.1,12.4,14.6,snow,34.9,46,59.5,988.2,16.1,16.3,6.4,icy,0.768
WOB-20148,2025-04-19 12:00:00,39.489511,37.381928,fog,22.3,21.0,0.0,none,26.4,338,87.4,1003.1,4.5,77.6,0.8,dry,0.416
WOB-20149,2025-04-19 15:00:00,39.750662,37.220504,rain,7.3,6.5,5.2,rain,15.6,93,90.2,982.5,6.6,36.0,4.3,wet,0.49
WOB-20150,2025-04-19 18:00:00,39.554052,37.451794,snow,21.0,19.6,11.9,snow,28.1,92,40.1,1009.9,7.2,80.3,4.7,icy,0.711
WOB-20151,2025-04-19 21:00:00,39.840401,37.307295,wind,10.6,9.0,0.0,none,32.0,75,91.6,1004.3,15.7,62.7,3.6,dry,0.292
WOB-20152,2025-04-20 00:00:00,39.283458,37.120523,clear,16.0,15.7,0.0,none,5.1,262,32.7,1014.8,19.7,98.3,4.4,dry,0.078
WOB-20153,2025-04-20 03:00:00,39.51809,36.834639,wind,6.0,3.3,0.0,none,53.5,248,48.9,981.8,18.5,62.9,1.8,dry,0.201
WOB-20154,2025-04-20 06:00:00,39.448472,37.218724,cloudy,8.6,6.7,0.0,none,37.2,56,62.1,988.6,8.8,14.2,3.9,dry,0.253
WOB-20155,2025-04-20 09:00:00,39.800009,36.904757,rain,14.9,14.4,8.6,rain,10.9,57,54.4,998.8,5.3,32.1,6.5,wet,0.512
WOB-20156,2025-04-20 12:00:00,39.201055,37.177705,snow,20.7,18.0,14.4,snow,54.5,100,43.2,994.5,16.1,30.2,7.0,icy,0.716
WOB-20157,2025-04-20 15:00:00,39.845714,36.80822,clear,9.8,8.3,0.0,none,29.9,237,31.4,988.3,14.0,86.0,4.9,dry,0.19
WOB-20158,2025-04-20 18:00:00,39.751616,37.113737,rain,16.2,13.9,1.5,rain,46.0,131,70.6,1025.2,9.7,39.7,5.1,wet,0.474
WOB-20159,2025-04-20 21:00:00,39.387605,37.116645,cloudy,23.8,21.6,0.0,none,44.5,254,60.8,1019.7,11.2,16.0,2.9,dry,0.287
WOB-20160,2025-04-21 00:00:00,39.299232,37.223211,cloudy,18.3,17.1,0.0,none,24.0,14,72.5,1008.6,13.1,92.7,1.2,dry,0.202
WOB-20161,2025-04-21 03:00:00,39.487359,36.829429,fog,20.2,17.6,0.0,none,51.9,302,50.7,1017.9,4.7,70.1,3.2,dry,0.43
WOB-20162,2025-04-21 06:00:00,39.635696,37.007661,rain,15.4,13.5,12.3,rain,38.7,92,32.8,998.8,7.6,33.5,2.1,wet,0.624
WOB-20163,2025-04-21 09:00:00,39.356125,37.176817,snow,26.7,26.1,5.4,snow,11.7,20,32.8,1008.7,15.9,85.2,1.8,icy,0.763
WOB-20164,2025-04-21 12:00:00,39.86483,36.921027,cloudy,25.6,25.1,0.0,none,10.6,39,54.2,994.8,7.3,66.3,7.1,dry,0.228
WOB-20165,2025-04-21 15:00:00,39.549652,37.081024,wind,11.8,10.5,0.0,none,26.1,4,36.8,1009.1,11.3,53.1,2.1,dry,0.271
WOB-20166,2025-04-21 18:00:00,39.200672,37.356229,snow,21.4,21.0,4.9,snow,8.0,90,67.1,1005.1,17.6,93.2,3.5,icy,0.765
WOB-20167,2025-04-21 21:00:00,39.646464,36.997238,snow,0.0,-2.3,8.1,snow,46.6,204,78.7,1018.8,19.4,11.9,3.5,icy,0.762
