segment_id,center_lat,center_lon,road_type,hour_of_day,day_of_week,is_rush_hour,is_weekend,free_flow_speed_kmh,current_speed_kmh,congestion_ratio,traffic_level,incident_reported,avg_vehicle_count_per_min,timestamp
SEG-10059,39.814464,36.837475,highway,4,4,0,0,92.7,74.3,0.29,moderate,0,11.9,2025-05-03 11:00:00
SEG-10060,39.274934,37.216038,highway,14,6,0,1,92.8,61.8,0.522,high,0,52.5,2025-05-03 12:00:00
SEG-10061,39.300906,37.318297,highway,23,4,0,0,84.2,56.8,0.614,high,0,17.3,2025-05-03 13:00:00
SEG-10062,39.200025,37.222653,urban,9,5,1,1,51.6,37.6,0.413,high,0,31.1,2025-05-03 14:00:00
SEG-10063,39.38219,37.228932,mountain,12,0,0,0,41.6,31.3,0.363,moderate,0,41.2,2025-05-03 15:00:00
SEG-10064,39.319543,37.319165,highway,13,1,0,0,84.6,76.4,0.251,moderate,0,41.7,2025-05-03 16:00:00
SEG-10065,39.769446,36.903717,mountain,11,5,0,1,38.4,37.0,0.126,low,0,11.6,2025-05-03 17:00:00
SEG-10066,39.229842,37.434941,mountain,0,4,0,0,45.5,37.4,0.109,low,0,20.2,2025-05-03 18:00:00
SEG-10067,39.659143,37.046307,urban,11,4,0,0,48.7,42.7,0.244,moderate,0,23.7,2025-05-03 19:00:00
SEG-10068,39.651594,37.063566,urban,8,6,1,1,42.8,28.2,0.725,congested,0,56.0,2025-05-03 20:00:00
SEG-10069,39.482642,36.83145,rural,4,5,0,1,71.3,59.8,0.244,moderate,0,13.8,2025-05-03 21:00:00
SEG-10070,39.74022,37.442088,highway,21,0,0,0,90.7,71.7,0.338,moderate,0,45.0,2025-05-03 22:00:00
SEG-10071,39.50907,37.062025,mountain,13,0,0,0,37.7,35.3,0.197,low,0,6.6,2025-05-03 23:00:00
SEG-10072,39.50626,37.000263,urban,10,0,0,0,50.9,34.8,0.508,high,0,49.5,2025-05-04 00:00:00
SEG-10073,39.805144,37.038498,urban,2,4,0,0,52.8,49.1,0.03,low,0,57.7,2025-05-04 01:00:00
SEG-10074,39.829829,37.397395,mountain,6,6,0,1,41.7,36.3,0.156,low,0,53.1,2025-05-04 02:00:00
SEG-10075,39.578377,36.81578,highway,4,6,0,1,84.9,74.1,0.294,moderate,0,20.9,2025-05-04 03:00:00
SEG-10076,39.574097,36.968979,rural,12,5,0,1,63.2,56.0,0.333,moderate,0,39.0,2025-05-04 04:00:00
SEG-10077,39.494984,36.940358,highway,18,3,1,0,89.2,43.8,0.856,congested,0,8.3,2025-05-04 05:00:00
SEG-10078,39.364932,36.851038,urban,17,6,1,1,60.3,31.6,0.614,high,0,47.1,2025-05-04 06:00:00
SEG-10079,39.389356,36.829219,highway,11,0,0,0,86.5,72.3,0.327,moderate,1,32.9,2025-05-04 07:00:00
SEG-10080,39.767954,37.17393,rural,13,3,0,0,74.8,53.7,0.389,moderate,0,35.4,2025-05-04 08:00:00
SEG-10081,39.280908,36.882595,highway,12,6,0,1,84.2,80.1,0.184,low,0,54.7,2025-05-04 09:00:00
SEG-10082,39.358988,37.323233,rural,6,2,0,0,76.8,55.7,0.34,moderate,0,59.5,2025-05-04 10:00:00
SEG-10083,39.658646,36.970971,highway,23,1,0,0,84.3,75.5,0.268,moderate,0,38.3,2025-05-04 11:00:00
SEG-10084,39.828348,37.401132,mountain,21,0,0,0,36.0,32.7,0.303,moderate,0,35.3,2025-05-04 12:00:00
SEG-10085,39.487584,37.465394,urban,16,2,1,0,51.5,32.1,0.596,high,0,9.3,2025-05-04 13:00:00
SEG-10086,39.751558,36.825107,urban,16,1,1,0,50.5,32.8,0.574,high,0,57.4,2025-05-04 14:00:00
SEG-10087,39.259145,36.995365,highway,15,6,0,1,95.4,86.6,0.063,low,0,32.2,2025-05-04 15:00:00
SEG-10088,39.236582,37.013604,mountain,12,3,0,0,35.5,37.6,0.1,low,1,38.5,2025-05-04 16:00:00
SEG-10089,39.635071,37.40602,rural,8,6,1,1,68.8,29.5,0.965,congested,0,56.1,2025-05-04 17:00:00
SEG-10090,39.856583,37.124452,highway,3,4,0,0,84.2,79.5,0.194,low,0,13.9,2025-05-04 18:00:00
SEG-10091,39.227024,36.991989,mountain,14,5,0,1,37.1,29.1,0.454,high,0,18.8,2025-05-04 19:00:00
SEG-10092,39.523907,37.107936,highway,3,2,0,0,77.3,68.6,0.397,moderate,0,51.4,2025-05-04 20:00:00
SEG-10093,39.867305,37.108308,urban,13,0,0,0,52.7,44.3,0.19,low,0,48.3,2025-05-04 21:00:00
SEG-10094,39.362871,37.258221,rural,15,1,0,0,72.4,66.0,0.095,low,0,22.5,2025-05-04 22:00:00
SEG-10095,39.231313,36.964288,urban,1,5,0,1,55.4,49.4,0.02,low,0,32.9,2025-05-04 23:00:00
SEG-10096,39.491179,37.249321,highway,16,0,1,0,92.0,66.0,0.445,high,0,48.3,2025-05-05 00:00:00
SEG-10097,39.457811,37.003611,rural,13,5,0,1,68.0,58.0,0.285,moderate,0,37.5,2025-05-05 01:00:00
SEG-10098,39.607041,37.040837,highway,19,1,1,0,92.1,56.2,0.625,high,1,44.9,2025-05-05 02:00:00
SEG-10099,39.758744,37.224971,mountain,20,0,0,0,49.2,26.0,0.582,high,0,33.6,2025-05-05 03:00:00
SEG-10100,39.519075,37.323732,rural,8,1,1,0,72.8,54.3,0.373,moderate,0,53.4,2025-05-05 04:00:00
SEG-10101,39.361245,37.350413,rural,2,2,0,0,72.5,55.0,0.357,moderate,0,50.5,2025-05-05 05:00:00
SEG-10102,39.382195,37.00082,urban,17,1,1,0,49.2,29.8,0.673,high,0,59.1,2025-05-05 06:00:00
SEG-10103,39.493038,37.335857,mountain,20,6,0,1,41.9,36.2,0.159,low,0,30.8,2025-05-05 07:00:00
SEG-10104,39.292664,37.406816,highway,4,6,0,1,99.4,87.7,0.043,low,0,27.1,2025-05-05 08:00:00
SEG-10105,39.631641,37.495894,urban,22,2,0,0,44.7,48.3,0.057,low,1,45.6,2025-05-05 09:00:00
SEG-10106,39.69008,37.31341,rural,14,3,0,0,68.9,54.3,0.373,moderate,0,33.0,2025-05-05 10:00:00
SEG-10107,39.323706,37.305773,urban,0,4,0,0,43.4,39.6,0.346,moderate,0,47.5,2025-05-05 11:00:00
SEG-10108,39.790846,37.098683,urban,9,3,1,0,48.1,39.0,0.367,moderate,0,12.9,2025-05-05 12:00:00
SEG-10109,39.315915,37.00149,urban,13,4,0,0,53.9,43.1,0.23,moderate,0,17.3,2025-05-05 13:00:00
SEG-10110,39.219145,37.431779,urban,9,2,1,0,56.0,40.2,0.325,moderate,0,5.4,2025-05-05 14:00:00
SEG-10111,39.288325,37.117695,highway,11,1,0,0,88.4,78.9,0.205,moderate,0,44.4,2025-05-05 15:00:00
SEG-10112,39.668101,37.477908,highway,14,3,0,0,92.7,67.3,0.421,high,0,9.1,2025-05-05 16:00:00
SEG-10113,39.694767,37.020367,urban,16,2,1,0,42.2,37.0,0.434,high,0,28.8,2025-05-05 17:00:00
SEG-10114,39.6391,36.97214,rural,6,6,0,1,61.3,58.3,0.278,moderate,0,15.8,2025-05-05 18:00:00
SEG-10115,39.813105,37.465583,mountain,4,3,0,0,34.8,26.5,0.561,high,0,46.2,2025-05-05 19:00:00
SEG-10116,39.641718,36.964301,highway,13,0,0,0,86.4,77.5,0.231,moderate,0,53.3,2025-05-05 20:00:00
SEG-10117,39.536671,36.867573,urban,9,5,1,1,55.0,33.2,0.559,high,0,53.4,2025-05-05 21:00:00
SEG-10118,39.423234,36.879475,rural,13,3,0,0,67.4,55.7,0.341,moderate,0,31.6,2025-05-05 22:00:00
SEG-10119,39.59358,37.026234,mountain,19,3,1,0,32.6,31.3,0.361,moderate,0,27.6,2025-05-05 23:00:00
SEG-10120,39.645386,36.83194,mountain,13,3,0,0,36.7,35.6,0.183,low,0,34.5,2025-05-06 00:00:00
SEG-10121,39.761689,36.863177,highway,19,4,1,0,91.1,49.9,0.743,congested,0,55.2,2025-05-06 01:00:00
SEG-10122,39.574989,37.401806,highway,20,0,0,0,91.2,68.5,0.399,moderate,0,23.2,2025-05-06 02:00:00
SEG-10123,39.75394,36.8296,urban,17,5,1,1,58.9,27.3,0.757,congested,0,6.3,2025-05-06 03:00:00
SEG-10124,39.772807,37.413635,urban,1,2,0,0,51.3,35.9,0.471,high,0,43.7,2025-05-06 04:00:00
SEG-10125,39.78203,37.401512,mountain,0,0,0,0,38.5,30.5,0.396,moderate,0,28.4,2025-05-06 05:00:00
SEG-10126,39.355577,37.084432,highway,9,2,1,0,89.3,60.2,0.551,high,0,32.9,2025-05-06 06:00:00
SEG-10127,39.516589,37.204516,mountain,0,3,0,0,44.0,32.2,0.323,moderate,1,47.4,2025-05-06 07:00:00
SEG-10128,39.883072,36.866772,mountain,11,3,0,0,44.9,31.1,0.369,moderate,0,18.7,2025-05-06 08:00:00
SEG-10129,39.241253,37.145392,urban,12,4,0,0,58.7,38.8,0.373,moderate,0,45.7,2025-05-06 09:00:00
SEG-10130,39.542109,37.149871,urban,1,2,0,0,53.5,35.1,0.497,high,0,31.6,2025-05-06 10:00:00
SEG-10131,39.723704,36.916338,highway,3,3,0,0,89.1,73.4,0.308,moderate,0,58.5,2025-05-06 11:00:00
SEG-10132,39.58296,37.079584,highway,13,3,0,0,88.5,82.4,0.14,low,0,55.7,2025-05-06 12:00:00
SEG-10133,39.566276,36.943123,rural,16,2,1,0,75.1,46.9,0.549,high,0,44.3,2025-05-06 13:00:00
SEG-10134,39.849489,36.914967,rural,15,3,0,0,68.8,65.2,0.115,low,0,14.9,2025-05-06 14:00:00
SEG-10135,39.431725,36.842775,mountain,2,0,0,0,34.5,36.1,0.162,low,0,13.6,2025-05-06 15:00:00
SEG-10136,39.498316,37.310526,rural,20,4,0,0,64.3,68.1,0.045,low,0,35.9,2025-05-06 16:00:00
SEG-10137,39.271625,37.357819,urban,2,4,0,0,56.3,44.9,0.169,low,0,47.1,2025-05-06 17:00:00
SEG-10138,39.346515,36.80187,rural,18,6,1,1,70.4,39.1,0.736,congested,0,38.8,2025-05-06 18:00:00
SEG-10139,39.550263,36.882108,urban,5,3,0,0,53.5,42.6,0.246,moderate,0,25.8,2025-05-06 19:00:00
SEG-10140,39.623767,36.94973,mountain,22,3,0,0,43.6,33.6,0.268,moderate,0,12.9,2025-05-06 20:00:00
SEG-10141,39.504789,37.043726,mountain,17,3,1,0,46.1,28.4,0.482,high,1,25.1,2025-05-06 21:00:00
SEG-10142,39.857585,37.06772,mountain,21,2,0,0,43.6,30.5,0.395,moderate,1,29.3,2025-05-06 22:00:00
SEG-10143,39.845095,37.224742,urban,0,4,0,0,57.5,43.0,0.232,moderate,1,20.1,2025-05-06 23:00:00
SEG-10144,39.702621,37.129567,mountain,12,0,0,0,35.7,35.9,0.171,low,0,46.2,2025-05-07 00:00:00
SEG-10145,39.809639,36.892154,highway,1,2,0,0,86.6,85.4,0.085,low,0,51.5,2025-05-07 01:00:00
SEG-10146,39.716218,37.032865,highway,14,5,0,1,85.0,75.3,0.272,moderate,0,14.3,2025-05-07 02:00:00
SEG-10147,39.551068,37.31027,rural,16,0,1,0,60.5,29.5,0.965,congested,0,29.4,2025-05-07 03:00:00
SEG-10148,39.858763,37.017815,rural,19,1,1,0,67.7,45.0,0.595,high,0,51.0,2025-05-07 04:00:00
SEG-10149,39.422251,37.238637,highway,18,3,1,0,89.1,68.6,0.396,moderate,1,14.3,2025-05-07 05:00:00
SEG-10150,39.786116,37.249622,highway,6,5,0,1,92.7,80.4,0.177,low,0,12.3,2025-05-07 06:00:00
SEG-10151,39.784693,36.99096,highway,12,5,0,1,88.1,80.4,0.178,low,0,58.9,2025-05-07 07:00:00
SEG-10152,39.649278,37.114771,rural,22,3,0,0,63.6,63.0,0.166,low,1,50.9,2025-05-07 08:00:00
SEG-10153,39.677412,37.002082,mountain,4,4,0,0,33.1,31.9,0.339,moderate,0,58.3,2025-05-07 09:00:00
SEG-10154,39.280709,37.260833,rural,2,4,0,0,71.1,50.7,0.459,high,0,25.5,2025-05-07 10:00:00
SEG-10155,39.832086,36.930978,mountain,21,4,0,0,42.5,37.4,0.107,low,0,14.0,2025-05-07 11:00:00
SEG-10156,39.479533,37.383867,urban,0,3,0,0,49.9,36.4,0.454,high,0,42.3,2025-05-07 12:00:00
SEG-10157,39.741851,37.467787,rural,1,1,0,0,74.8,51.6,0.438,high,0,6.6,2025-05-07 13:00:00
SEG-10158,39.433203,37.471939,urban,9,4,1,0,54.2,39.2,0.36,moderate,0,49.1,2025-05-07 14:00:00
SEG-10159,39.415269,36.929216,mountain,12,1,0,0,39.2,31.2,0.367,moderate,0,29.0,2025-05-07 15:00:00
SEG-10160,39.475833,36.948744,urban,4,5,0,1,45.2,35.4,0.486,high,0,18.4,2025-05-07 16:00:00
SEG-10161,39.398236,37.272325,highway,12,1,0,0,90.8,77.7,0.228,moderate,0,37.8,2025-05-07 17:00:00
SEG-10162,39.324712,36.96461,highway,11,3,0,0,86.2,54.0,0.666,high,1,38.0,2025-05-07 18:00:00
SEG-10163,39.264995,37.068847,mountain,2,5,0,1,44.5,31.4,0.357,moderate,0,13.3,2025-05-07 19:00:00
SEG-10164,39.257848,37.280246,rural,12,5,0,1,78.0,66.5,0.083,low,0,5.7,2025-05-07 20:00:00
SEG-10165,39.669136,37.09572,rural,4,4,0,0,75.9,43.1,0.641,high,0,28.4,2025-05-07 21:00:00
SEG-10166,39.434544,37.174517,highway,19,6,1,1,84.2,48.6,0.767,congested,0,34.2,2025-05-07 22:00:00
SEG-10167,39.70934,37.118493,mountain,21,0,0,0,46.6,35.4,0.19,low,1,20.5,2025-05-07 23:00:00
SEG-10168,39.436223,37.007301,highway,15,3,0,0,92.6,80.1,0.184,low,0,24.6,2025-05-08 00:00:00
SEG-10169,39.571888,37.07735,highway,14,2,0,0,84.3,72.3,0.327,moderate,0,34.4,2025-05-08 01:00:00
SEG-10170,39.682294,36.97087,urban,23,1,0,0,54.3,37.1,0.431,high,0,33.8,2025-05-08 02:00:00
SEG-10171,39.768734,36.870786,mountain,1,0,0,0,31.6,35.6,0.185,low,0,44.9,2025-05-08 03:00:00
SEG-10172,39.705116,37.319879,rural,20,5,0,1,79.7,57.9,0.288,moderate,0,48.7,2025-05-08 04:00:00
SEG-10173,39.461965,37.131043,rural,9,4,1,0,75.3,43.7,0.626,high,0,29.0,2025-05-08 05:00:00
SEG-10174,39.390876,37.085028,urban,8,4,1,0,55.1,35.9,0.469,high,0,19.7,2025-05-08 06:00:00
SEG-10175,39.709715,37.226521,rural,3,1,0,0,70.6,60.3,0.23,moderate,0,28.1,2025-05-08 07:00:00
SEG-10176,39.77584,36.906245,rural,17,3,1,0,73.6,46.1,0.57,high,0,14.4,2025-05-08 08:00:00
SEG-10177,39.345286,37.489408,mountain,8,3,1,0,35.3,32.8,0.299,moderate,0,21.1,2025-05-08 09:00:00
SEG-10178,39.595425,37.090775,rural,14,5,0,1,70.8,59.5,0.249,moderate,0,45.9,2025-05-08 10:00:00
SEG-10179,39.599522,36.925036,urban,12,4,0,0,41.7,44.9,0.171,low,0,47.8,2025-05-08 11:00:00
SEG-10180,39.664964,37.280791,mountain,17,3,1,0,35.2,30.2,0.408,high,0,34.3,2025-05-08 12:00:00
SEG-10181,39.202336,37.380906,urban,12,3,0,0,44.7,41.4,0.288,moderate,0,41.1,2025-05-08 13:00:00
SEG-10182,39.633213,36.897,highway,12,4,0,0,76.5,68.7,0.394,moderate,0,45.3,2025-05-08 14:00:00
SEG-10183,39.459207,37.320076,highway,10,4,0,0,77.4,80.3,0.18,low,0,41.0,2025-05-08 15:00:00
SEG-10184,39.84497,37.025907,urban,5,3,0,0,47.2,40.1,0.33,moderate,0,30.4,2025-05-08 16:00:00
SEG-10185,39.648965,37.362581,urban,21,4,0,0,60.2,38.9,0.369,moderate,0,53.0,2025-05-08 17:00:00
SEG-10186,39.529146,37.069721,urban,7,3,1,0,52.6,28.7,0.71,congested,0,34.6,2025-05-08 18:00:00
SEG-10187,39.640488,37.108032,highway,14,3,0,0,77.7,62.1,0.516,high,0,10.7,2025-05-08 19:00:00
SEG-10188,39.299365,36.970148,rural,18,6,1,1,66.1,38.1,0.759,congested,0,43.2,2025-05-08 20:00:00
SEG-10189,39.431463,37.115263,mountain,22,3,0,0,40.4,28.3,0.486,high,0,20.1,2025-05-08 21:00:00
SEG-10190,39.699662,37.014664,highway,4,1,0,0,88.6,80.4,0.178,low,0,44.2,2025-05-08 22:00:00
SEG-10191,39.795643,37.208261,rural,4,5,0,1,63.7,52.2,0.423,high,0,5.7,2025-05-08 23:00:00
SEG-10192,39.319287,37.040949,rural,23,4,0,0,75.5,50.8,0.458,high,0,25.6,2025-05-09 00:00:00
SEG-10193,39.357378,36.9445,mountain,20,1,0,0,48.1,34.4,0.234,moderate,0,38.5,2025-05-09 01:00:00
SEG-10194,39.787984,37.392022,highway,20,1,0,0,91.3,83.8,0.115,low,0,16.1,2025-05-09 02:00:00
SEG-10195,39.574328,37.318881,highway,12,5,0,1,84.0,78.6,0.212,moderate,0,58.4,2025-05-09 03:00:00
SEG-10196,39.855433,37.400266,highway,14,4,0,0,91.1,78.6,0.211,moderate,0,58.9,2025-05-09 04:00:00
SEG-10197,39.609974,37.206889,rural,17,2,1,0,77.9,50.7,0.459,high,0,34.5,2025-05-09 05:00:00
SEG-10198,39.338177,37.179658,highway,10,6,0,1,91.3,62.0,0.519,high,0,37.0,2025-05-09 06:00:00
SEG-10199,39.544824,36.923572,highway,23,3,0,0,95.6,69.2,0.385,moderate,0,33.3,2025-05-09 07:00:00
SEG-10200,39.638145,36.878029,rural,8,6,1,1,70.1,48.9,0.502,high,1,54.1,2025-05-09 08:00:00
SEG-10201,39.803421,37.039702,mountain,15,1,0,0,36.8,37.2,0.115,low,0,50.2,2025-05-09 09:00:00
SEG-10202,39.530313,37.279322,urban,3,6,0,1,53.1,43.8,0.208,moderate,0,22.8,2025-05-09 10:00:00
SEG-10203,39.561526,37.131643,urban,12,6,0,1,48.5,46.6,0.114,low,0,27.9,2025-05-09 11:00:00
SEG-10204,39.433606,37.047754,rural,7,2,1,0,69.8,45.6,0.581,high,0,26.6,2025-05-09 12:00:00
SEG-10205,39.391945,37.372973,mountain,0,6,0,1,34.5,31.1,0.372,moderate,0,41.4,2025-05-09 13:00:00
SEG-10206,39.591981,36.939617,rural,9,6,1,1,71.3,52.8,0.41,high,0,10.9,2025-05-09 14:00:00
SEG-10207,39.862696,37.34686,urban,5,2,0,0,55.8,38.6,0.38,moderate,0,57.8,2025-05-09 15:00:00
SEG-10208,39.530289,37.416595,mountain,7,2,1,0,52.3,28.5,0.48,high,0,50.3,2025-05-09 16:00:00
SEG-10209,39.58261,37.262484,urban,18,2,1,0,56.2,32.3,0.59,high,0,50.0,2025-05-09 17:00:00
SEG-10210,39.87004,37.052861,highway,4,6,0,1,91.2,69.6,0.377,moderate,0,22.7,2025-05-09 18:00:00
SEG-10211,39.723355,36.816197,urban,14,2,0,0,41.8,45.0,0.167,low,0,27.6,2025-05-09 19:00:00
SEG-10212,39.222459,37.152948,mountain,15,6,0,1,42.6,34.7,0.219,moderate,0,36.6,2025-05-09 20:00:00
SEG-10213,39.759014,37.39241,highway,23,0,0,0,81.6,77.4,0.234,moderate,0,55.7,2025-05-09 21:00:00
SEG-10214,39.896045,36.906544,urban,2,6,0,1,48.5,38.2,0.395,moderate,0,30.0,2025-05-09 22:00:00
SEG-10215,39.672177,37.028633,mountain,0,3,0,0,42.8,34.8,0.218,moderate,0,41.6,2025-05-09 23:00:00
SEG-10216,39.270628,37.173395,rural,22,6,0,1,71.3,50.6,0.461,high,0,24.2,2025-05-10 00:00:00
SEG-10217,39.496999,36.989755,highway,10,6,0,1,89.5,74.6,0.285,moderate,0,16.9,2025-05-10 01:00:00
SEG-10218,39.217797,37.407273,rural,0,1,0,0,72.1,40.3,0.706,congested,1,29.1,2025-05-10 02:00:00
SEG-10219,39.839298,37.307163,urban,6,6,0,1,47.3,38.2,0.392,moderate,0,46.6,2025-05-10 03:00:00
SEG-10220,39.889606,37.359854,highway,15,5,0,1,87.6,68.5,0.398,moderate,0,30.1,2025-05-10 04:00:00
