route_id,stop_sequence,stop_id,latitude,longitude,distance_from_prev_km,road_type,planned_arrival,actual_arrival,time_window_open,time_window_close,planned_service_min,actual_service_min,planned_travel_min,actual_travel_min,delay_at_stop_min,missed_time_window,delay_probability,package_count,package_weight_kg
RT-0003,7,STP-00025,39.294397,37.301232,5.94,highway,2025-06-01 09:28:36,2025-06-01 09:36:24,2025-06-01 09:04:36,2025-06-01 11:27:36,14.6,14.8,4.4,5.7,7.8,0,0.377,14,156.9
RT-0003,8,STP-00026,39.37732,37.327304,3.81,highway,2025-06-01 09:50:24,2025-06-01 10:05:18,2025-06-01 09:24:24,2025-06-01 11:10:24,18.3,18.1,7.2,13.9,14.9,0,0.076,6,187.0
RT-0003,9,STP-00027,39.470651,37.481607,10.85,highway,2025-06-01 10:23:36,2025-06-01 10:24:42,2025-06-01 10:00:36,2025-06-01 11:44:36,10.0,5.8,14.9,23.4,1.1,0,0.198,2,160.9
RT-0003,10,STP-00028,39.405636,36.871819,13.95,highway,2025-06-01 10:55:42,2025-06-01 11:04:12,2025-06-01 10:32:42,2025-06-01 12:42:42,17.0,17.0,22.1,36.2,8.5,0,0.131,12,87.8
RT-0003,11,STP-00029,39.647629,37.354034,9.5,highway,2025-06-01 11:16:36,2025-06-01 11:33:06,2025-06-01 11:05:36,2025-06-01 12:31:36,7.5,6.1,3.9,4.6,16.5,0,0.023,8,73.6
RT-0004,1,STP-00030,39.651614,37.053505,10.99,mountain,2025-06-01 07:15:36,2025-06-01 07:10:36,2025-06-01 06:51:36,2025-06-01 07:49:36,19.3,20.3,15.6,16.6,-5.0,0,0.38,3,170.5
RT-0004,2,STP-00031,39.654693,36.974728,3.71,mountain,2025-06-01 07:42:30,2025-06-01 07:47:00,2025-06-01 07:14:30,2025-06-01 08:29:30,10.6,10.2,7.6,5.6,4.5,0,0.045,8,153.8
RT-0004,3,STP-00032,39.841535,37.14384,19.18,mountain,2025-06-01 08:11:12,2025-06-01 08:12:36,2025-06-01 07:47:12,2025-06-01 09:08:12,13.4,13.4,18.1,19.7,1.4,0,0.049,5,156.1
RT-0004,4,STP-00033,39.57952,37.423932,21.76,mountain,2025-06-01 08:40:30,2025-06-01 08:45:24,2025-06-01 08:20:30,2025-06-01 10:35:30,11.7,12.3,15.9,15.5,4.9,0,0.341,2,163.1
RT-0004,5,STP-00034,39.452628,37.200594,18.66,mountain,2025-06-01 09:21:00,2025-06-01 09:21:06,2025-06-01 09:05:00,2025-06-01 10:08:00,16.9,19.2,28.8,29.0,0.1,0,0.187,9,48.7
RT-0005,1,STP-00035,39.880666,37.249637,16.46,urban,2025-06-01 09:23:24,2025-06-01 09:25:36,2025-06-01 09:00:24,2025-06-01 10:45:24,20.0,19.3,23.4,23.7,2.2,0,0.18,12,98.3
RT-0005,2,STP-00036,39.781974,37.162671,17.96,urban,2025-06-01 09:59:12,2025-06-01 10:08:24,2025-06-01 09:45:12,2025-06-01 11:24:12,16.7,16.6,15.8,11.8,9.2,0,0.122,11,119.6
RT-0005,3,STP-00037,39.392116,37.237516,6.56,urban,2025-06-01 10:27:00,2025-06-01 10:29:00,2025-06-01 10:15:00,2025-06-01 11:29:00,19.2,23.9,11.1,12.8,2.0,0,0.246,9,179.5
RT-0005,4,STP-00038,39.777665,36.819861,5.06,urban,2025-06-01 10:48:00,2025-06-01 10:46:48,2025-06-01 10:19:00,2025-06-01 12:01:00,13.7,11.5,1.8,3.2,-1.2,0,0.018,3,133.5
RT-0005,5,STP-00039,39.649335,37.011466,17.11,urban,2025-06-01 11:15:48,2025-06-01 11:16:30,2025-06-01 11:05:48,2025-06-01 12:48:48,16.5,14.9,14.1,16.0,0.7,0,0.098,7,125.5
RT-0005,6,STP-00040,39.418808,37.302854,20.76,urban,2025-06-01 11:52:36,2025-06-01 11:59:54,2025-06-01 11:27:36,2025-06-01 13:21:36,15.3,17.9,20.3,21.1,7.3,0,0.294,3,90.7
RT-0005,7,STP-00041,39.298614,36.835424,21.94,urban,2025-06-01 12:36:48,2025-06-01 12:42:48,2025-06-01 12:19:48,2025-06-01 14:05:48,10.6,12.1,28.9,30.5,6.0,0,0.378,9,25.7
RT-0005,8,STP-00042,39.897179,37.126771,22.01,urban,2025-06-01 13:02:36,2025-06-01 13:17:06,2025-06-01 12:34:36,2025-06-01 14:12:36,18.5,19.6,15.2,15.6,14.5,0,0.352,14,68.8
RT-0005,9,STP-00043,39.817638,37.257982,13.94,urban,2025-06-01 13:42:00,2025-06-01 13:57:12,2025-06-01 13:21:00,2025-06-01 14:18:00,11.9,12.6,20.9,23.1,15.2,0,0.188,4,47.0
RT-0005,10,STP-00044,39.593272,37.053767,14.81,urban,2025-06-01 14:14:42,2025-06-01 14:27:30,2025-06-01 13:52:42,2025-06-01 15:30:42,18.2,18.4,20.8,21.4,12.8,0,0.115,12,76.3
RT-0005,11,STP-00045,39.756428,37.03736,11.5,urban,2025-06-01 14:40:42,2025-06-01 15:03:36,2025-06-01 14:27:42,2025-06-01 15:26:42,17.4,17.1,7.8,9.8,22.9,0,0.376,10,137.7
RT-0005,12,STP-00046,39.825192,36.897847,19.61,urban,2025-06-01 15:23:30,2025-06-01 15:57:00,2025-06-01 15:03:30,2025-06-01 16:53:30,12.5,12.4,25.4,24.3,33.5,0,0.373,1,12.6
RT-0006,1,STP-00047,39.532425,36.811646,6.58,rural,2025-06-02 09:16:06,2025-06-02 09:15:36,2025-06-02 08:50:06,2025-06-02 10:54:06,9.5,9.7,16.1,22.2,-0.5,0,0.132,6,103.9
RT-0006,2,STP-00048,39.748033,37.343313,5.41,rural,2025-06-02 09:28:24,2025-06-02 09:30:30,2025-06-02 09:18:24,2025-06-02 11:14:24,18.5,19.3,2.8,-0.8,2.1,0,0.231,14,139.2
RT-0006,3,STP-00049,39.600799,37.290365,18.87,rural,2025-06-02 10:06:54,2025-06-02 10:06:00,2025-06-02 09:44:54,2025-06-02 10:54:54,14.4,13.1,20.0,31.4,-0.9,0,0.076,10,156.0
RT-0006,4,STP-00050,39.592621,37.498686,12.7,rural,2025-06-02 10:32:00,2025-06-02 10:35:12,2025-06-02 10:07:00,2025-06-02 11:09:00,8.1,5.8,10.7,15.8,3.2,0,0.191,9,156.1
RT-0006,5,STP-00051,39.870136,36.995304,11.29,rural,2025-06-02 10:59:00,2025-06-02 10:59:06,2025-06-02 10:29:00,2025-06-02 12:57:00,13.0,15.3,18.9,28.9,0.1,0,0.119,9,74.1
RT-0006,6,STP-00052,39.756784,36.99142,23.71,rural,2025-06-02 11:49:00,2025-06-02 11:49:42,2025-06-02 11:29:00,2025-06-02 13:20:00,15.6,19.4,37.0,54.3,0.7,0,0.049,12,142.5
RT-0006,7,STP-00053,39.442454,37.109663,17.89,rural,2025-06-02 12:15:54,2025-06-02 12:27:18,2025-06-02 11:56:54,2025-06-02 12:50:54,17.3,20.4,11.3,16.7,11.4,0,0.103,13,161.9
RT-0006,8,STP-00054,39.235536,37.433629,13.54,rural,2025-06-02 12:51:18,2025-06-02 13:02:30,2025-06-02 12:38:18,2025-06-02 14:39:18,19.0,17.5,18.1,27.8,11.2,0,0.09,12,58.0
RT-0006,9,STP-00055,39.657025,37.416453,8.12,rural,2025-06-02 13:23:42,2025-06-02 13:34:54,2025-06-02 13:13:42,2025-06-02 15:03:42,12.1,11.9,13.4,21.8,11.2,0,0.19,11,155.3
RT-0006,10,STP-00056,39.706182,37.455669,17.31,rural,2025-06-02 13:56:42,2025-06-02 14:04:36,2025-06-02 13:44:42,2025-06-02 15:49:42,9.3,8.2,20.9,30.0,7.9,0,0.365,1,182.0
RT-0006,11,STP-00057,39.848228,37.41372,6.85,rural,2025-06-02 14:16:30,2025-06-02 14:28:42,2025-06-02 13:51:30,2025-06-02 15:09:30,18.8,16.8,10.5,20.9,12.2,0,0.004,14,82.4
RT-0007,1,STP-00058,39.278853,36.913746,23.43,highway,2025-06-02 07:25:18,2025-06-02 07:30:00,2025-06-02 07:11:18,2025-06-02 08:59:18,14.6,14.9,25.3,35.4,4.7,0,0.184,9,101.3
RT-0007,2,STP-00059,39.483843,37.099392,8.66,highway,2025-06-02 07:53:30,2025-06-02 08:02:24,2025-06-02 07:37:30,2025-06-02 08:45:30,16.9,15.1,13.6,17.5,8.9,0,0.131,10,136.5
RT-0007,3,STP-00060,39.867824,37.011362,11.82,highway,2025-06-02 08:36:18,2025-06-02 08:48:24,2025-06-02 08:18:18,2025-06-02 09:55:18,12.2,15.5,25.9,37.9,12.1,0,0.289,15,53.4
RT-0007,4,STP-00061,39.821461,37.338889,3.25,highway,2025-06-02 08:48:00,2025-06-02 08:49:24,2025-06-02 08:33:00,2025-06-02 10:09:00,5.9,1.7,-0.5,-2.5,1.4,0,0.276,2,95.8
RT-0007,5,STP-00062,39.838958,37.330145,17.05,highway,2025-06-02 09:18:48,2025-06-02 09:25:12,2025-06-02 08:54:48,2025-06-02 11:05:48,8.3,10.5,24.9,33.9,6.4,0,0.321,3,98.2
RT-0007,6,STP-00063,39.594918,36.843231,21.16,highway,2025-06-02 09:53:06,2025-06-02 09:55:36,2025-06-02 09:29:06,2025-06-02 11:30:06,13.9,13.1,26.0,37.5,2.5,0,0.219,13,21.0
RT-0008,1,STP-00064,39.766084,37.117403,15.6,urban,2025-06-02 09:21:18,2025-06-02 09:24:54,2025-06-02 08:53:18,2025-06-02 10:53:18,12.8,14.1,21.3,28.0,3.6,0,0.205,2,137.7
RT-0008,2,STP-00065,39.231703,37.04117,13.05,urban,2025-06-02 09:55:00,2025-06-02 09:58:06,2025-06-02 09:37:00,2025-06-02 10:25:00,17.1,14.5,20.9,25.4,3.1,0,0.026,12,9.2
RT-0008,3,STP-00066,39.652117,37.094253,24.87,urban,2025-06-02 10:43:42,2025-06-02 10:45:00,2025-06-02 10:28:42,2025-06-02 11:30:42,19.0,13.5,31.6,39.1,1.3,0,0.397,1,61.0
RT-0008,4,STP-00067,39.324932,37.176081,11.41,urban,2025-06-02 11:23:48,2025-06-02 11:18:48,2025-06-02 10:56:48,2025-06-02 12:10:48,10.6,9.1,21.1,24.7,-5.0,0,0.212,11,193.0
RT-0008,5,STP-00068,39.373258,37.042312,19.01,urban,2025-06-02 11:57:18,2025-06-02 12:00:06,2025-06-02 11:30:18,2025-06-02 13:21:18,5.3,4.6,22.9,24.3,2.8,0,0.11,5,95.3
RT-0008,6,STP-00069,39.223503,37.218449,23.62,urban,2025-06-02 12:30:36,2025-06-02 12:31:24,2025-06-02 12:20:36,2025-06-02 13:30:36,17.1,18.0,28.0,34.4,0.8,0,0.281,7,124.9
RT-0008,7,STP-00070,39.77105,37.312062,4.07,urban,2025-06-02 12:52:18,2025-06-02 12:50:42,2025-06-02 12:41:18,2025-06-02 13:39:18,8.5,8.5,4.6,4.0,-1.6,0,0.128,4,152.1
RT-0008,8,STP-00071,39.589703,37.214167,16.15,urban,2025-06-02 13:18:06,2025-06-02 13:17:42,2025-06-02 12:52:06,2025-06-02 14:16:06,9.5,10.3,17.3,19.7,-0.4,0,0.294,3,197.2
RT-0009,1,STP-00072,39.409922,36.928715,16.77,urban,2025-06-02 09:14:54,2025-06-02 09:17:30,2025-06-02 08:48:54,2025-06-02 10:24:54,19.6,17.7,14.9,14.2,2.6,0,0.215,11,135.9
RT-0009,2,STP-00073,39.293865,36.970001,8.3,urban,2025-06-02 09:46:00,2025-06-02 09:56:30,2025-06-02 09:19:00,2025-06-02 11:08:00,7.2,6.7,11.5,14.0,10.5,0,0.081,8,183.4
RT-0009,3,STP-00074,39.227683,36.850949,17.23,urban,2025-06-02 10:22:24,2025-06-02 10:21:48,2025-06-02 10:11:24,2025-06-02 11:26:24,6.4,8.3,29.2,27.2,-0.6,0,0.322,12,166.7
RT-0009,4,STP-00075,39.282121,37.4997,15.93,urban,2025-06-02 10:46:18,2025-06-02 10:47:06,2025-06-02 10:36:18,2025-06-02 11:43:18,8.1,6.1,17.5,22.2,0.8,0,0.192,15,69.9
RT-0009,5,STP-00076,39.415896,37.051751,8.34,urban,2025-06-02 11:01:42,2025-06-02 11:03:48,2025-06-02 10:42:42,2025-06-02 12:19:42,18.7,19.3,7.3,4.5,2.1,0,0.353,9,67.7
RT-0009,6,STP-00077,39.354892,36.902146,13.25,urban,2025-06-02 11:38:54,2025-06-02 11:36:06,2025-06-02 11:17:54,2025-06-02 12:48:54,16.4,17.7,18.5,16.3,-2.8,0,0.104,6,183.3
RT-0010,1,STP-00078,39.542035,37.306491,9.49,mountain,2025-06-02 07:12:36,2025-06-02 07:16:00,2025-06-02 06:42:36,2025-06-02 09:09:36,13.5,16.4,12.6,10.8,3.4,0,0.296,4,102.4
RT-0010,2,STP-00079,39.787348,36.852031,13.14,mountain,2025-06-02 07:41:24,2025-06-02 07:37:48,2025-06-02 07:14:24,2025-06-02 09:33:24,7.1,6.5,15.3,17.6,-3.6,0,0.327,9,100.2
RT-0010,3,STP-00080,39.632485,37.266728,4.07,mountain,2025-06-02 07:56:06,2025-06-02 07:57:12,2025-06-02 07:46:06,2025-06-02 08:53:06,14.5,14.4,7.6,5.7,1.1,0,0.247,2,142.9
RT-0010,4,STP-00081,39.76921,37.271823,13.63,mountain,2025-06-02 08:26:24,2025-06-02 08:27:48,2025-06-02 08:08:24,2025-06-02 10:04:24,13.3,13.2,15.8,16.2,1.4,0,0.322,1,8.3
RT-0010,5,STP-00082,39.461136,37.084219,23.02,mountain,2025-06-02 09:09:06,2025-06-02 09:12:18,2025-06-02 08:51:06,2025-06-02 10:24:06,7.2,9.2,29.4,29.2,3.2,0,0.226,4,125.9
RT-0011,1,STP-00083,39.23928,36.806615,9.6,urban,2025-06-03 08:12:30,2025-06-03 08:10:42,2025-06-03 08:00:30,2025-06-03 09:33:30,19.9,21.6,12.5,12.9,-1.8,0,0.069,11,153.1
RT-0011,2,STP-00084,39.684601,37.196749,14.0,urban,2025-06-03 08:41:12,2025-06-03 08:44:42,2025-06-03 08:15:12,2025-06-03 09:16:12,13.5,17.8,8.8,10.9,3.5,0,0.108,14,194.9
RT-0011,3,STP-00085,39.726578,37.298898,23.33,urban,2025-06-03 09:21:06,2025-06-03 09:18:24,2025-06-03 09:01:06,2025-06-03 09:53:06,13.1,12.5,26.4,33.7,-2.7,0,0.159,11,11.4
RT-0011,4,STP-00086,39.753349,37.282517,4.69,urban,2025-06-03 09:41:48,2025-06-03 09:46:00,2025-06-03 09:14:48,2025-06-03 10:53:48,17.5,19.7,7.6,6.5,4.2,0,0.031,7,137.0
RT-0011,5,STP-00087,39.220738,36.991329,19.4,urban,2025-06-03 10:21:18,2025-06-03 10:25:30,2025-06-03 09:52:18,2025-06-03 12:07:18,8.5,10.6,22.0,23.2,4.2,0,0.397,2,71.4
RT-0011,6,STP-00088,39.372515,36.851455,13.79,urban,2025-06-03 10:39:00,2025-06-03 10:51:54,2025-06-03 10:17:00,2025-06-03 11:19:00,11.5,9.8,9.2,11.1,12.9,0,0.107,11,119.2
RT-0011,7,STP-00089,39.271562,36.861108,11.36,urban,2025-06-03 11:04:42,2025-06-03 11:09:18,2025-06-03 10:54:42,2025-06-03 12:13:42,10.8,12.0,14.2,13.6,4.6,0,0.172,6,25.8
RT-0012,1,STP-00090,39.25929,37.430795,5.27,mountain,2025-06-03 08:11:42,2025-06-03 08:15:06,2025-06-03 07:49:42,2025-06-03 08:42:42,14.0,15.9,11.7,11.2,3.4,0,0.362,13,68.3
RT-0012,2,STP-00091,39.393173,37.009827,24.52,mountain,2025-06-03 08:52:24,2025-06-03 08:52:06,2025-06-03 08:34:24,2025-06-03 10:25:24,10.7,11.7,26.7,27.4,-0.3,0,0.313,3,57.4
RT-0012,3,STP-00092,39.432552,37.234135,10.94,mountain,2025-06-03 09:23:42,2025-06-03 09:22:00,2025-06-03 09:10:42,2025-06-03 10:10:42,12.4,17.0,20.6,19.0,-1.7,0,0.322,10,43.1
RT-0012,4,STP-00093,39.419928,37.475202,10.25,mountain,2025-06-03 09:43:42,2025-06-03 09:52:36,2025-06-03 09:23:42,2025-06-03 11:30:42,17.9,17.5,7.6,8.9,8.9,0,0.387,10,31.5
RT-0012,5,STP-00094,39.33986,37.498085,9.41,mountain,2025-06-03 10:10:54,2025-06-03 10:09:06,2025-06-03 09:52:54,2025-06-03 11:30:54,13.6,17.1,9.3,6.2,-1.8,0,0.072,4,68.5
RT-0013,1,STP-00095,39.411983,36.976877,23.97,highway,2025-06-03 10:21:06,2025-06-03 10:23:00,2025-06-03 10:09:06,2025-06-03 11:43:06,11.6,10.6,21.1,20.6,1.9,0,0.062,5,167.1
RT-0013,2,STP-00096,39.8779,37.291144,12.31,highway,2025-06-03 10:43:36,2025-06-03 10:48:00,2025-06-03 10:17:36,2025-06-03 12:41:36,14.0,14.3,10.9,10.4,4.4,0,0.325,10,83.2
RT-0013,3,STP-00097,39.67423,37.079732,16.06,highway,2025-06-03 11:18:54,2025-06-03 11:19:36,2025-06-03 10:48:54,2025-06-03 13:06:54,8.7,10.3,21.3,26.8,0.7,0,0.301,11,74.2
RT-0013,4,STP-00098,39.461884,37.124144,24.25,highway,2025-06-03 11:56:00,2025-06-03 11:58:24,2025-06-03 11:29:00,2025-06-03 13:40:00,8.9,7.6,28.4,27.9,2.4,0,0.272,9,150.6
RT-0013,5,STP-00099,39.44383,37.040147,18.19,highway,2025-06-03 12:36:54,2025-06-03 12:53:54,2025-06-03 12:24:54,2025-06-03 13:20:54,12.2,9.4,32.0,33.6,17.0,0,0.314,5,86.1
RT-0013,6,STP-00100,39.794426,37.253579,14.46,highway,2025-06-03 13:05:06,2025-06-03 13:14:54,2025-06-03 12:46:06,2025-06-03 13:40:06,15.8,14.9,16.0,16.4,9.8,0,0.271,8,67.2
RT-0013,7,STP-00101,39.329116,37.248335,6.62,highway,2025-06-03 13:32:36,2025-06-03 13:43:06,2025-06-03 13:09:36,2025-06-03 15:01:36,7.6,9.6,11.7,11.9,10.5,0,0.173,3,69.5
RT-0013,8,STP-00102,39.757206,37.204144,3.64,highway,2025-06-03 13:42:06,2025-06-03 13:53:54,2025-06-03 13:26:06,2025-06-03 14:38:06,13.9,17.0,1.9,1.3,11.8,0,0.32,7,5.9
RT-0013,9,STP-00103,39.474781,36.879962,14.81,highway,2025-06-03 14:11:36,2025-06-03 14:31:36,2025-06-03 13:45:36,2025-06-03 16:02:36,6.7,8.5,15.6,14.8,20.0,0,0.141,11,173.2
RT-0013,10,STP-00104,39.413766,36.928131,13.07,highway,2025-06-03 14:37:30,2025-06-03 15:07:42,2025-06-03 14:25:30,2025-06-03 16:33:30,17.0,17.7,19.2,19.9,30.2,0,0.277,15,124.8
RT-0013,11,STP-00105,39.321264,36.916806,14.24,highway,2025-06-03 15:09:12,2025-06-03 15:43:06,2025-06-03 14:42:12,2025-06-03 17:07:12,10.8,8.6,14.7,18.7,33.9,0,0.116,3,99.9
RT-0014,1,STP-00106,39.546479,37.279288,9.92,urban,2025-06-03 08:10:18,2025-06-03 08:10:48,2025-06-03 07:54:18,2025-06-03 09:29:18,10.4,9.9,10.3,12.6,0.5,0,0.166,1,99.5
RT-0014,2,STP-00107,39.746518,37.195955,21.48,urban,2025-06-03 08:44:24,2025-06-03 08:44:42,2025-06-03 08:33:24,2025-06-03 09:49:24,5.5,7.1,23.7,24.0,0.3,0,0.309,13,48.0
RT-0014,3,STP-00108,39.703286,37.182447,13.9,urban,2025-06-03 09:00:06,2025-06-03 08:59:54,2025-06-03 08:39:06,2025-06-03 10:39:06,9.0,8.5,10.2,10.5,-0.2,0,0.396,9,165.5
RT-0014,4,STP-00109,39.742942,36.965862,5.25,urban,2025-06-03 09:19:24,2025-06-03 09:14:24,2025-06-03 08:58:24,2025-06-03 10:00:24,9.5,11.9,10.3,4.4,-5.0,0,0.324,1,92.7
RT-0014,5,STP-00110,39.572597,37.2178,15.93,urban,2025-06-03 09:43:24,2025-06-03 09:50:00,2025-06-03 09:27:24,2025-06-03 10:39:24,14.5,12.1,14.5,15.4,6.6,0,0.067,3,125.1
RT-0014,6,STP-00111,39.843138,37.49474,24.54,urban,2025-06-03 10:25:36,2025-06-03 10:34:06,2025-06-03 10:12:36,2025-06-03 11:12:36,19.3,18.5,27.7,31.1,8.5,0,0.347,9,197.2
RT-0014,7,STP-00112,39.639469,37.062621,5.79,urban,2025-06-03 10:54:24,2025-06-03 10:56:18,2025-06-03 10:32:24,2025-06-03 12:26:24,15.7,17.9,9.5,11.3,1.9,0,0.03,14,53.3
RT-0014,8,STP-00113,39.201731,37.341895,20.48,urban,2025-06-03 11:35:18,2025-06-03 11:35:36,2025-06-03 11:14:18,2025-06-03 13:03:18,16.2,15.7,25.2,26.9,0.3,0,0.293,12,187.6
RT-0014,9,STP-00114,39.5463,37.026006,19.08,urban,2025-06-03 12:07:18,2025-06-03 12:14:36,2025-06-03 11:45:18,2025-06-03 13:04:18,10.4,9.7,15.8,19.5,7.3,0,0.113,2,160.2
RT-0014,10,STP-00115,39.521707,36.886966,15.04,urban,2025-06-03 12:42:24,2025-06-03 12:57:12,2025-06-03 12:31:24,2025-06-03 13:17:24,16.8,18.9,24.7,27.5,14.8,0,0.343,15,138.1
RT-0014,11,STP-00116,39.391814,37.258212,12.71,urban,2025-06-03 13:27:00,2025-06-03 13:39:06,2025-06-03 12:57:00,2025-06-03 14:35:00,8.0,11.9,27.8,30.3,12.1,0,0.1,12,182.3
RT-0014,12,STP-00117,39.20076,37.133765,11.18,urban,2025-06-03 13:50:54,2025-06-03 14:04:54,2025-06-03 13:33:54,2025-06-03 15:14:54,10.9,8.3,15.9,14.2,14.0,0,0.053,5,146.6
RT-0015,1,STP-00118,39.468149,37.311534,14.43,urban,2025-06-03 08:16:42,2025-06-03 08:16:54,2025-06-03 07:53:42,2025-06-03 10:14:42,10.2,10.8,16.7,17.2,0.2,0,0.041,2,197.7
RT-0015,2,STP-00119,39.205932,37.255014,9.89,urban,2025-06-03 08:40:48,2025-06-03 08:39:00,2025-06-03 08:10:48,2025-06-03 10:36:48,16.6,18.5,13.9,15.4,-1.8,0,0.176,13,175.5
