route_id,vehicle_id,vehicle_type,driver_id,num_stops,departure_planned,departure_actual,total_distance_km,planned_duration_min,actual_duration_min,total_delay_min,on_time_delivery_rate,weather_condition,temperature_c,precipitation_mm,wind_speed_kmh,humidity_pct,visibility_km,traffic_level,road_incident,incident_severity,overall_delay_factor
RT-0020,3,van,DRV-010,12,2025-06-04 07:00:00,2025-06-04 07:18:00,35.5,46.3,50.9,4.6,0.68,clear,17.6,0.0,18.9,74.7,17.2,high,0,0.0,1.1
RT-0021,0,truck,DRV-001,4,2025-06-05 09:00:00,2025-06-05 08:56:00,53.4,60.5,59.9,-0.6,0.99,snow,17.0,4.5,8.9,58.7,14.4,congested,0,0.0,0.99
RT-0022,1,van,DRV-002,12,2025-06-05 09:00:00,2025-06-05 09:13:00,34.8,27.3,27.3,0.0,0.65,snow,27.9,5.7,17.0,88.4,16.1,low,1,0.9,1.0
RT-0023,2,car,DRV-003,6,2025-06-05 10:00:00,2025-06-05 10:14:00,112.6,145.3,145.3,0.0,0.69,fog,8.8,0.0,8.9,82.0,4.4,moderate,0,0.0,1.0
RT-0024,3,car,DRV-004,6,2025-06-05 08:00:00,2025-06-05 08:03:00,98.7,138.5,138.5,0.0,0.64,rain,5.9,8.1,48.0,85.8,5.2,low,0,0.0,1.0
RT-0025,0,truck,DRV-005,8,2025-06-05 10:00:00,2025-06-05 10:05:00,106.4,122.5,193.6,71.1,0.71,rain,18.9,6.8,35.3,56.0,19.6,high,0,0.0,1.58
RT-0026,1,van,DRV-006,5,2025-06-06 09:00:00,2025-06-06 08:56:00,79.7,94.5,107.7,13.2,0.91,snow,19.9,9.6,24.0,94.0,3.2,high,0,0.0,1.14
RT-0027,2,truck,DRV-007,10,2025-06-06 08:00:00,2025-06-06 08:06:00,27.0,37.1,37.1,0.0,0.87,snow,6.1,8.2,18.2,50.4,17.1,moderate,1,0.8,1.0
RT-0028,3,motorcycle,DRV-008,10,2025-06-06 08:00:00,2025-06-06 08:08:00,87.7,93.2,142.6,49.4,0.85,fog,11.7,0.0,16.6,65.6,1.0,high,0,0.0,1.53
RT-0029,0,motorcycle,DRV-009,7,2025-06-06 10:00:00,2025-06-06 10:09:00,71.1,79.8,79.8,0.0,0.92,fog,9.5,0.0,52.8,77.8,13.5,moderate,0,0.0,1.0
RT-0030,1,van,DRV-010,7,2025-06-06 08:00:00,2025-06-06 08:20:00,34.7,26.7,24.8,-1.9,0.99,fog,15.1,0.0,33.6,80.0,9.7,high,0,0.0,0.93
RT-0031,2,motorcycle,DRV-001,5,2025-06-07 07:00:00,2025-06-07 07:19:00,97.8,132.0,132.0,0.0,0.69,wind,15.4,0.0,44.2,75.2,9.8,moderate,0,0.0,1.0
RT-0032,3,van,DRV-002,11,2025-06-07 09:00:00,2025-06-07 09:19:00,81.3,83.5,83.5,0.0,0.89,snow,18.8,9.9,27.8,84.0,11.4,moderate,0,0.0,1.0
RT-0033,0,motorcycle,DRV-003,7,2025-06-07 10:00:00,2025-06-07 10:15:00,47.5,71.2,67.6,-3.6,0.71,cloudy,15.2,0.0,14.9,50.8,11.3,congested,0,0.0,0.95
RT-0034,1,car,DRV-004,9,2025-06-07 10:00:00,2025-06-07 10:08:00,74.3,94.8,94.8,0.0,0.77,cloudy,18.2,0.0,11.4,57.3,18.2,moderate,0,0.0,1.0
RT-0035,2,motorcycle,DRV-005,12,2025-06-07 10:00:00,2025-06-07 10:12:00,100.0,117.0,117.0,0.0,0.96,snow,21.3,4.2,26.9,47.7,10.2,low,0,0.0,1.0
RT-0036,3,motorcycle,DRV-006,4,2025-06-08 07:00:00,2025-06-08 07:07:00,28.4,15.2,18.2,3.0,0.95,rain,24.7,9.8,10.0,46.9,7.2,high,0,0.0,1.2
RT-0037,0,truck,DRV-007,11,2025-06-08 09:00:00,2025-06-08 08:57:00,21.9,37.8,48.4,10.6,1.0,rain,5.3,8.4,19.2,72.3,15.8,high,0,0.0,1.28
RT-0038,1,van,DRV-008,6,2025-06-08 08:00:00,2025-06-08 08:02:00,67.4,82.8,82.8,0.0,0.65,wind,15.5,0.0,52.1,60.2,5.9,low,0,0.0,1.0
RT-0039,2,van,DRV-009,10,2025-06-08 07:00:00,2025-06-08 07:04:00,59.7,79.0,79.0,0.0,0.89,fog,18.6,0.0,4.2,74.9,12.9,moderate,0,0.0,1.0
RT-0040,3,van,DRV-010,9,2025-06-08 10:00:00,2025-06-08 10:16:00,26.9,31.1,42.0,10.9,0.61,clear,12.9,0.0,23.1,61.9,9.2,high,0,0.0,1.35
RT-0041,0,car,DRV-001,12,2025-06-09 09:00:00,2025-06-09 09:14:00,97.5,91.2,112.2,21.0,0.93,fog,12.9,0.0,32.6,50.9,5.7,congested,0,0.0,1.23
RT-0042,1,motorcycle,DRV-002,4,2025-06-09 10:00:00,2025-06-09 10:05:00,69.4,86.3,97.5,11.2,0.8,clear,4.3,0.0,19.5,46.8,6.3,high,0,0.0,1.13
RT-0043,2,van,DRV-003,11,2025-06-09 08:00:00,2025-06-09 08:17:00,84.6,108.4,134.4,26.0,0.92,snow,17.2,4.4,5.1,44.4,14.1,high,0,0.0,1.24
RT-0044,3,motorcycle,DRV-004,11,2025-06-09 09:00:00,2025-06-09 09:06:00,47.1,84.6,91.4,6.8,0.65,fog,0.0,0.0,10.6,37.8,11.2,high,0,0.0,1.08
RT-0045,0,car,DRV-005,7,2025-06-09 09:00:00,2025-06-09 08:58:00,49.6,61.1,61.1,0.0,0.74,wind,2.2,0.0,16.6,76.0,3.4,moderate,0,0.0,1.0
RT-0046,1,truck,DRV-006,4,2025-06-10 10:00:00,2025-06-10 09:58:00,77.4,107.2,107.2,0.0,0.79,clear,26.3,0.0,24.2,42.0,2.0,low,0,0.0,1.0
RT-0047,2,van,DRV-007,8,2025-06-10 08:00:00,2025-06-10 08:20:00,28.5,40.5,40.5,0.0,0.7,rain,25.1,1.0,30.7,57.1,12.3,low,0,0.0,1.0
RT-0048,3,motorcycle,DRV-008,4,2025-06-10 09:00:00,2025-06-10 09:13:00,81.0,104.2,104.2,0.0,0.9,snow,0.1,9.9,52.1,43.5,5.0,moderate,0,0.0,1.0
RT-0049,0,car,DRV-009,11,2025-06-10 10:00:00,2025-06-10 10:09:00,49.1,57.0,57.0,0.0,0.69,wind,10.6,0.0,38.9,75.7,9.6,low,0,0.0,1.0
RT-0050,1,truck,DRV-010,5,2025-06-10 08:00:00,2025-06-10 08:08:00,74.5,79.0,79.0,0.0,0.86,wind,6.7,0.0,50.0,83.7,2.4,moderate,0,0.0,1.0
RT-0051,2,truck,DRV-001,12,2025-06-11 10:00:00,2025-06-11 10:03:00,74.0,90.5,109.5,19.0,0.84,cloudy,8.3,0.0,48.9,77.7,12.5,high,0,0.0,1.21
RT-0052,3,car,DRV-002,8,2025-06-11 07:00:00,2025-06-11 07:19:00,77.6,81.9,81.9,0.0,0.91,clear,20.4,0.0,9.6,63.7,9.4,low,0,0.0,1.0
RT-0053,0,motorcycle,DRV-003,9,2025-06-11 09:00:00,2025-06-11 09:08:00,52.1,62.7,62.7,0.0,0.64,fog,11.5,0.0,8.8,56.8,10.4,moderate,0,0.0,1.0
RT-0054,1,van,DRV-004,4,2025-06-11 10:00:00,2025-06-11 10:11:00,85.8,111.1,142.2,31.1,0.77,wind,12.2,0.0,10.3,53.5,15.4,congested,0,0.0,1.28
RT-0055,2,van,DRV-005,11,2025-06-11 10:00:00,2025-06-11 10:17:00,32.1,31.5,49.8,18.3,0.84,wind,-2.5,0.0,13.2,40.3,11.5,congested,0,0.0,1.58
RT-0056,3,van,DRV-006,8,2025-06-12 08:00:00,2025-06-12 08:10:00,70.9,81.0,88.3,7.3,0.93,snow,17.1,9.5,53.9,45.8,11.5,congested,0,0.0,1.09
RT-0057,0,car,DRV-007,8,2025-06-12 09:00:00,2025-06-12 08:55:00,92.6,128.5,128.5,0.0,0.93,rain,12.7,4.4,31.9,72.9,17.4,moderate,0,0.0,1.0
RT-0058,1,truck,DRV-008,7,2025-06-12 08:00:00,2025-06-12 08:17:00,77.2,82.9,87.9,5.0,0.91,rain,15.6,9.4,2.4,78.4,14.4,congested,0,0.0,1.06
RT-0059,2,car,DRV-009,5,2025-06-12 07:00:00,2025-06-12 07:09:00,72.6,89.8,109.6,19.8,0.89,rain,24.2,6.1,22.5,72.6,3.9,congested,0,0.0,1.22
RT-0060,3,truck,DRV-010,11,2025-06-12 10:00:00,2025-06-12 10:05:00,107.2,131.1,121.9,-9.2,0.63,rain,12.4,3.6,34.7,89.9,20.0,high,0,0.0,0.93
RT-0061,0,motorcycle,DRV-001,6,2025-06-13 07:00:00,2025-06-13 07:09:00,89.4,91.7,91.7,0.0,0.96,wind,15.8,0.0,2.5,81.7,6.6,low,0,0.0,1.0
RT-0062,1,car,DRV-002,6,2025-06-13 08:00:00,2025-06-13 08:00:00,27.9,41.4,62.5,21.1,0.85,fog,4.7,0.0,13.2,89.3,3.7,congested,0,0.0,1.51
RT-0063,2,motorcycle,DRV-003,11,2025-06-13 08:00:00,2025-06-13 07:57:00,114.5,138.5,220.2,81.7,0.72,rain,29.4,9.1,52.9,74.9,9.7,high,0,0.0,1.59
RT-0064,3,motorcycle,DRV-004,8,2025-06-13 09:00:00,2025-06-13 09:13:00,119.3,149.2,149.2,0.0,0.72,fog,21.1,0.0,53.8,72.8,6.2,moderate,0,0.0,1.0
RT-0065,0,motorcycle,DRV-005,7,2025-06-13 09:00:00,2025-06-13 09:02:00,82.1,88.6,88.6,0.0,0.87,snow,26.3,2.7,39.7,72.8,16.9,low,0,0.0,1.0
RT-0066,1,van,DRV-006,8,2025-06-14 08:00:00,2025-06-14 07:57:00,52.7,68.0,68.0,0.0,0.77,wind,5.2,0.0,11.0,81.1,17.7,low,0,0.0,1.0
RT-0067,2,car,DRV-007,9,2025-06-14 09:00:00,2025-06-14 09:18:00,100.4,110.3,135.7,25.4,0.63,fog,19.1,0.0,41.5,44.7,13.9,high,0,0.0,1.23
RT-0068,3,truck,DRV-008,9,2025-06-14 07:00:00,2025-06-14 07:09:00,87.3,109.6,150.2,40.6,0.83,wind,10.1,0.0,45.2,91.1,3.1,congested,0,0.0,1.37
RT-0069,0,van,DRV-009,5,2025-06-14 08:00:00,2025-06-14 08:15:00,83.5,97.1,118.5,21.4,0.88,cloudy,21.7,0.0,35.7,37.6,1.9,congested,0,0.0,1.22
RT-0070,1,motorcycle,DRV-010,9,2025-06-14 10:00:00,2025-06-14 10:09:00,87.0,116.8,165.9,49.1,0.98,clear,15.9,0.0,23.1,78.2,3.9,high,0,0.0,1.42
RT-0071,2,motorcycle,DRV-001,11,2025-06-15 08:00:00,2025-06-15 08:09:00,115.1,135.1,135.1,0.0,0.94,rain,21.0,7.1,5.5,74.6,11.3,low,0,0.0,1.0
RT-0072,3,van,DRV-002,7,2025-06-15 10:00:00,2025-06-15 09:57:00,84.2,105.8,139.7,33.9,0.61,wind,16.5,0.0,43.3,45.8,3.4,high,0,0.0,1.32
RT-0073,0,van,DRV-003,6,2025-06-15 08:00:00,2025-06-15 08:05:00,98.9,114.2,114.2,0.0,0.84,snow,5.0,8.2,15.3,94.0,19.8,moderate,0,0.0,1.0
RT-0074,1,car,DRV-004,9,2025-06-15 08:00:00,2025-06-15 08:13:00,21.6,22.0,24.0,2.0,0.65,snow,17.8,3.9,23.2,37.4,2.2,high,0,0.0,1.09
RT-0075,2,van,DRV-005,4,2025-06-15 09:00:00,2025-06-15 09:09:00,26.1,44.9,55.7,10.8,0.76,rain,17.0,7.4,37.7,61.9,18.3,high,0,0.0,1.24
RT-0076,3,truck,DRV-006,12,2025-06-16 09:00:00,2025-06-16 09:07:00,49.5,62.6,62.6,0.0,0.8,clear,20.9,0.0,23.7,81.6,3.2,low,0,0.0,1.0
RT-0077,0,motorcycle,DRV-007,10,2025-06-16 10:00:00,2025-06-16 10:07:00,93.0,120.6,120.6,0.0,0.73,wind,16.0,0.0,17.2,46.6,19.1,moderate,0,0.0,1.0
RT-0078,1,van,DRV-008,6,2025-06-16 09:00:00,2025-06-16 09:20:00,75.6,96.2,126.0,29.8,0.82,wind,22.3,0.0,18.1,37.9,7.7,congested,0,0.0,1.31
RT-0079,2,van,DRV-009,11,2025-06-16 08:00:00,2025-06-16 07:59:00,42.4,45.4,44.5,-0.9,0.94,wind,9.0,0.0,20.2,79.6,11.9,congested,0,0.0,0.98
RT-0080,3,truck,DRV-010,6,2025-06-16 09:00:00,2025-06-16 08:55:00,107.0,145.2,145.2,0.0,0.83,rain,13.0,9.3,22.0,39.2,13.0,low,1,0.32,1.0
